Lambda: 100.0	Ts: 0.0085	Simulation Time: 100.0

IAT   	Ts     	Arr   	Dep   	Tq     	Tw     	q 	w 	n 

0.0221	0.0349	0.0011	0.036	0.0349	0.0	3	0	2
0.0239	0.0112	0.024	0.0473	0.0233	0.012	2	1	2
0.0239	0.0028	0.0461	0.0501	0.0040	0.0011	0	0	1
0.0072	0.0062	0.07	0.0763	0.0062	0.0	0	0	3
0.0078	0.0059	0.0716	0.0823	0.0106	0.0046	1	0	3
0.0552	0.0308	0.0717	0.1131	0.0414	0.0105	4	1	5
0.0552	0.0067	0.0789	0.1199	0.0409	0.0341	4	3	4
0.0552	0.0231	0.0867	0.143	0.0562	0.0331	5	3	3
0.0552	0.0026	0.0887	0.1457	0.057	0.0543	5	5	2
0.0552	0.0018	0.0927	0.1475	0.0548	0.053	5	5	1
0.0098	0.0011	0.1479	0.1491	0.0011	0.0	0	0	1
0.0041	0.0144	0.1578	0.1723	0.0144	0.0	1	0	3
0.0153	0.016	0.1634	0.1883	0.0249	0.0089	2	0	4
0.0153	0.0039	0.1696	0.1923	0.0227	0.0187	2	1	3
0.0153	0.0024	0.1737	0.1948	0.021	0.0186	2	1	2
0.0123	0.0199	0.1808	0.2148	0.0339	0.014	3	1	4
0.0123	0.0072	0.1961	0.222	0.0258	0.0186	2	1	3
0.0123	2.0E-4	0.1984	0.2222	0.0238	0.0236	2	2	2
0.0112	0.0112	0.2138	0.2335	0.0196	0.0084	1	0	2
0.0084	0.0045	0.2261	0.238	0.0118	0.0073	1	0	2
0.0121	0.0106	0.2373	0.2486	0.0113	6.0E-4	1	0	2
0.0121	0.0029	0.2458	0.2515	0.0057	0.0028	0	0	1
0.0010	2.0E-4	0.2579	0.2582	2.0E-4	0.0	0	0	2
0.0125	0.013	0.258	0.2713	0.0133	2.0E-4	1	0	5
0.0125	0.0101	0.2591	0.2815	0.0223	0.0122	2	1	4
0.0059	0.0053	0.2625	0.2868	0.0242	0.0189	2	1	5
0.0194	0.0132	0.2659	0.3	0.0341	0.0209	3	2	6
0.0194	0.0122	0.2691	0.3123	0.0431	0.0309	4	3	5
0.0030	8.0E-4	0.2817	0.3131	0.0314	0.0305	3	3	5
0.0151	0.0032	0.2833	0.3164	0.0331	0.0298	3	2	5
0.0151	0.0053	0.2893	0.3218	0.0325	0.0271	3	2	4
0.0232	0.0186	0.2932	0.3404	0.0472	0.0285	4	2	7
0.0232	0.0044	0.3127	0.3448	0.0321	0.0277	3	2	6
0.0232	0.0052	0.3157	0.3501	0.0343	0.0291	3	2	5
0.0232	0.0028	0.3308	0.3529	0.0221	0.0192	2	1	4
0.0071	0.0076	0.3326	0.3606	0.028	0.0203	2	2	4
0.0013	0.0268	0.3331	0.3875	0.0543	0.0275	5	2	5
0.0082	0.0054	0.3335	0.393	0.0595	0.054	5	5	5
0.0038	0.0072	0.3567	0.4002	0.0434	0.0362	4	3	5
0.0066	0.0031	0.3639	0.4033	0.0394	0.0363	3	3	6
0.0066	0.0032	0.3875	0.4065	0.019	0.0158	1	1	5
0.0029	0.0061	0.3889	0.4127	0.0237	0.0176	2	1	6
0.0152	0.0209	0.3971	0.4336	0.0365	0.0155	3	1	9
0.0152	0.0121	0.401	0.4458	0.0448	0.0326	4	3	8
0.0446	0.0019	0.4032	0.4477	0.0445	0.0425	4	4	9
0.0446	0.0048	0.4099	0.4525	0.0426	0.0378	4	3	8
0.0446	0.0114	0.4125	0.464	0.0514	0.04	5	4	7
0.0283	0.0498	0.4154	0.5138	0.0983	0.0485	9	4	11
0.0283	0.0	0.4192	0.5138	0.0946	0.0945	9	9	10
0.0283	2.0E-4	0.4248	0.5141	0.0892	0.089	8	8	9
0.0112	0.0266	0.4317	0.5407	0.1089	0.0823	10	8	9
0.0021	0.0089	0.447	0.5497	0.1027	0.0937	10	9	10
0.0279	0.0132	0.447	0.5629	0.1158	0.1026	11	10	10
0.0279	0.0080	0.4917	0.571	0.0792	0.0712	7	7	9
0.0279	0.0076	0.5004	0.5787	0.0782	0.0705	7	7	8
0.0302	0.0072	0.5023	0.5859	0.0835	0.0763	8	7	8
0.0302	0.0020	0.5091	0.5879	0.0788	0.0767	7	7	7
0.0302	0.0044	0.5091	0.5923	0.0832	0.0788	8	7	6
0.0302	0.0055	0.5375	0.5979	0.0603	0.0548	6	5	5
0.0302	0.0014	0.5488	0.5993	0.0505	0.0491	5	4	4
0.0302	0.0071	0.5493	0.6064	0.0571	0.0499	5	4	3
0.0302	0.0029	0.5515	0.6094	0.0578	0.0549	5	5	2
0.0090	0.0147	0.5795	0.6241	0.0446	0.0298	4	2	4
0.0107	0.0103	0.6097	0.6345	0.0247	0.0144	2	1	5
0.0107	0.0017	0.6139	0.6362	0.0222	0.0205	2	2	4
0.0077	0.0303	0.6155	0.6665	0.051	0.0207	5	2	8
0.0138	0.017	0.6245	0.6836	0.0591	0.042	5	4	8
0.0095	0.014	0.6259	0.6977	0.0718	0.0577	7	5	9
0.0138	0.011	0.6366	0.7088	0.0721	0.061	7	6	9
0.0138	0.0033	0.6443	0.7121	0.0677	0.0644	6	6	8
0.0634	0.0146	0.6577	0.7267	0.069	0.0543	6	5	8
0.0634	7.0E-4	0.6588	0.7275	0.0687	0.0679	6	6	7
0.0634	0.0047	0.6647	0.7322	0.0675	0.0628	6	6	6
0.0634	0.0012	0.6724	0.7334	0.061	0.0598	6	5	5
0.0634	0.0361	0.6863	0.7696	0.0833	0.0471	8	4	4
0.0634	0.0047	0.6913	0.7744	0.083	0.0782	8	7	3
0.0127	0.0081	0.7008	0.7825	0.0816	0.0735	8	7	3
0.0127	4.0E-4	0.7147	0.7829	0.0681	0.0677	6	6	2
0.014	0.0399	0.7781	0.8228	0.0446	0.0047	4	0	5
0.014	0.0037	0.7909	0.8266	0.0357	0.0319	3	3	4
0.014	0.0055	0.7923	0.8321	0.0398	0.0342	3	3	3
0.0106	0.0022	0.8026	0.8344	0.0318	0.0295	3	2	4
0.0106	0.0033	0.819	0.8378	0.0187	0.0153	1	1	3
0.0034	0.0074	0.833	0.8452	0.0121	0.0047	1	0	3
0.0054	0.0082	0.8338	0.8534	0.0195	0.0113	1	1	5
0.0053	0.0030	0.8445	0.8565	0.012	0.0089	1	0	5
0.0053	0.0040	0.8479	0.8605	0.0125	0.0085	1	0	4
0.0211	0.0052	0.8506	0.8657	0.0151	0.0099	1	0	4
0.0211	0.0047	0.8509	0.8705	0.0195	0.0148	1	1	3
0.0211	0.0037	0.8563	0.8742	0.0179	0.0141	1	1	2
0.0211	0.0017	0.8616	0.876	0.0143	0.0126	1	1	1
0.0145	0.0283	0.8827	0.9111	0.0283	0.0	2	0	4
0.0145	6.0E-4	0.8904	0.9118	0.0213	0.0207	2	2	3
0.0145	0.0021	0.8997	0.9139	0.0142	0.012	1	1	2
0.0075	0.0272	0.9051	0.9411	0.0359	0.0087	3	0	4
0.061	0.0053	0.9197	0.9465	0.0267	0.0214	2	2	5
0.061	0.0073	0.925	0.9538	0.0287	0.0214	2	2	4
0.061	0.0041	0.9342	0.958	0.0238	0.0196	2	1	3
0.061	0.0	0.9417	0.9581	0.0164	0.0163	1	1	2
0.061	0.0044	0.9425	0.9626	0.02	0.0155	2	1	1
0.0364	0.0044	1.0035	1.008	0.0044	0.0	0	0	1
9.0E-4	6.0E-4	1.04	1.0407	6.0E-4	0.0	0	0	1
0.0194	0.0204	1.0409	1.0613	0.0204	0.0	2	0	3
0.0194	0.0012	1.0422	1.0626	0.0204	0.0191	2	1	2
0.0028	0.0060	1.047	1.0687	0.0216	0.0156	2	1	2
0.0117	0.0159	1.0664	1.0846	0.0181	0.0022	1	0	6
0.019	0.0136	1.0693	1.0982	0.0288	0.0152	2	1	7
0.019	0.0439	1.0697	1.1421	0.0724	0.0285	7	2	9
0.0079	0.0102	1.0697	1.1523	0.0825	0.0723	8	7	9
0.0189	0.0099	1.0698	1.1623	0.0924	0.0824	9	8	9
0.0189	8.0E-4	1.077	1.1631	0.086	0.0852	8	8	8
0.0189	0.0138	1.0887	1.1769	0.0882	0.0743	8	7	7
0.0072	0.0044	1.092	1.1814	0.0894	0.0849	8	8	7
0.0072	2.0E-4	1.1111	1.1817	0.0705	0.0703	7	7	6
0.0054	0.0038	1.112	1.1855	0.0734	0.0696	7	6	6
0.0051	0.0075	1.1313	1.193	0.0616	0.0541	6	5	6
0.0177	0.0054	1.1504	1.1985	0.048	0.0425	4	4	6
0.0177	0.0029	1.1584	1.2014	0.043	0.04	4	4	5
0.0177	0.0014	1.1774	1.2028	0.0254	0.024	2	2	4
0.0177	0.0021	1.1846	1.2049	0.0203	0.0181	2	1	3
0.0177	0.0062	1.1901	1.2112	0.021	0.0148	2	1	2
0.0121	0.0095	1.1953	1.2207	0.0254	0.0158	2	1	5
0.0121	0.0096	1.213	1.2303	0.0173	0.0077	1	0	4
0.0059	0.0030	1.2179	1.2334	0.0154	0.0124	1	1	4
0.0308	0.035	1.2179	1.2684	0.0505	0.0154	5	1	6
0.0308	0.0055	1.2183	1.274	0.0557	0.0501	5	5	5
0.0173	0.0033	1.2304	1.2773	0.0468	0.0435	4	4	6
0.0173	0.0054	1.2364	1.2828	0.0463	0.0408	4	4	5
0.0065	0.0486	1.2409	1.3315	0.0905	0.0418	9	4	13
0.0065	9.0E-4	1.244	1.3325	0.0884	0.0874	8	8	12
0.0108	0.0211	1.2749	1.3536	0.0786	0.0575	7	5	14
0.0036	0.0024	1.2759	1.3561	0.0801	0.0777	8	7	14
0.0078	0.0115	1.2932	1.3677	0.0744	0.0628	7	6	15
0.0061	0.0051	1.3085	1.3728	0.0642	0.0591	6	5	16
0.0129	0.0404	1.3111	1.4132	0.1021	0.0617	10	6	20
0.0153	0.0158	1.3134	1.429	0.1156	0.0998	11	9	23
0.0244	0.017	1.3158	1.4461	0.1302	0.1131	13	11	23
0.0244	0.0013	1.3163	1.4475	0.1311	0.1297	13	12	22
0.0081	0.02	1.3241	1.4675	0.1433	0.1233	14	12	22
0.0081	0.0018	1.3292	1.4693	0.1401	0.1382	14	13	21
0.0081	0.0014	1.3303	1.4708	0.1404	0.139	14	13	20
0.0081	0.0031	1.3369	1.4739	0.137	0.1338	13	13	19
0.0488	0.0022	1.3412	1.4761	0.1348	0.1326	13	13	19
0.0488	0.0034	1.3444	1.4795	0.135	0.1316	13	13	18
0.0488	0.0079	1.3553	1.4875	0.1321	0.1241	13	12	17
0.0488	0.0025	1.359	1.49	0.131	0.1285	13	12	16
0.0488	0.0063	1.3646	1.4964	0.1317	0.1254	13	12	15
0.0409	0.0483	1.3725	1.5447	0.1722	0.1239	17	12	15
0.0409	0.0073	1.3726	1.552	0.1794	0.1721	17	17	14
