K: 5
Lambda: 50.0
Ts: 0.03
Simulation Time: 100.0

time      	IAT  	Ts		Rho    	Arr      	Dep     	Tw     	Tq     	w   	q   

0.0905    	0.177 	0.078 	0.7413 	0.0125    	0.0905    	0.0 	0.078 	2.2586 	3.0 	
0.0954    	0.0885 	0.0414 	0.3937 	0.0623    	0.0954    	0.0141 	0.0555 	2.6062 	3.0 	
0.1108    	0.059 	0.0327 	0.3113 	0.0641    	0.1108    	0.0198 	0.0526 	2.3553 	2.6666 	
0.1381    	0.0442 	0.0314 	0.2982 	0.0843    	0.1381    	0.0215 	0.0529 	1.9517 	2.25 	
0.2047    	0.0403 	0.0281 	0.501 	0.1896    	0.2047    	0.0172 	0.0453 	1.4989 	2.0 	
0.2155    	0.0358 	0.0252 	0.5507 	0.2025    	0.2155    	0.0147 	0.0399 	1.2825 	1.8333 	
0.2373    	0.0353 	0.0247 	0.5747 	0.214    	0.2373    	0.0128 	0.0375 	1.2824 	1.8571 	
0.2724    	0.0326 	0.026 	1.8006 	0.2275    	0.2724    	0.0124 	0.0385 	0.1993 	2.0 	
0.287    	0.0312 	0.0247 	1.682 	0.2297    	0.287    	0.0158 	0.0405 	0.429 	2.1111 	
0.3364    	0.0326 	0.0272 	1.7723 	0.2601    	0.3364    	0.0169 	0.0441 	0.5276 	2.3 	
0.3369    	0.0296 	0.0248 	1.6138 	0.2704    	0.3369    	0.0213 	0.0461 	0.8407 	2.4545 	
0.341    	0.0282 	0.023 	1.5065 	0.2738    	0.341    	0.0248 	0.0479 	0.9934 	2.5 	
0.3799    	0.0287 	0.0243 	1.539 	0.2937    	0.3799    	0.0265 	0.0508 	1.0763 	2.6153 	
0.5422    	0.0338 	0.0298 	1.4513 	0.3663    	0.5422    	0.0369 	0.0598 	1.1915 	2.6428 	
0.5614    	0.0335 	0.0292 	1.4098 	0.3865    	0.5614    	0.0448 	0.0674 	1.3235 	2.7333 	
0.5623    	0.0316 	0.0276 	1.3241 	0.3963    	0.5623    	0.0523 	0.0736 	1.4883 	2.8125 	
0.5827    	0.0306 	0.0273 	1.3375 	0.4315    	0.5827    	0.0569 	0.0782 	1.4859 	2.8235 	
0.6703    	0.0316 	0.0288 	1.3364 	0.5401    	0.6703    	0.0602 	0.0811 	1.5524 	2.8888 	
0.6785    	0.0303 	0.0279 	1.5074 	0.5549    	0.6785    	0.0631 	0.0833 	1.4399 	2.9473 	
0.753    	0.0316 	0.0277 	1.4346 	0.7519    	0.753    	0.0599 	0.0792 	1.4153 	2.85 	
0.8007    	0.0315 	0.0277 	1.4367 	0.7725    	0.8007    	0.057 	0.0767 	1.3251 	2.7619 	
0.8167    	0.0311 	0.0272 	1.4062 	0.7829    	0.8167    	0.0553 	0.0748 	1.2755 	2.6818 	
0.8257    	0.0302 	0.0265 	1.3992 	0.802    	0.8257    	0.0535 	0.0726 	1.2094 	2.6086 	
0.8289    	0.0291 	0.0257 	1.3597 	0.8228    	0.8289    	0.0514 	0.0698 	1.1819 	2.5416 	
0.8753    	0.0303 	0.0264 	1.3463 	0.83    	0.8753    	0.0493 	0.0688 	1.1336 	2.48 	
0.968    	0.0341 	0.0286 	1.3377 	0.8473    	0.968    	0.0485 	0.0708 	1.2007 	2.5384 	
0.9835    	0.033 	0.0282 	1.295 	0.8915    	0.9835    	0.0495 	0.0716 	1.2975 	2.5925 	
1.0053    	0.032 	0.028 	1.2582 	0.8962    	1.0053    	0.0509 	0.0729 	1.3488 	2.6071 	
1.0386    	0.0312 	0.0281 	1.4205 	0.9075    	1.0386    	0.0525 	0.0749 	1.1656 	2.5862 	
1.0557    	0.0316 	0.0278 	1.388 	0.9546    	1.0557    	0.0536 	0.0758 	1.2119 	2.6 	
1.0694    	0.0307 	0.0274 	1.3546 	1.0372    	1.0694    	0.0524 	0.0744 	1.2582 	2.6129 	
1.1121    	0.0306 	0.0278 	1.3642 	1.0428    	1.1121    	0.0516 	0.0742 	1.2607 	2.625 	
1.1312    	0.0302 	0.0276 	1.3568 	1.0503    	1.1312    	0.0519 	0.0744 	1.2794 	2.6363 	
1.1474    	0.0308 	0.0273 	1.3263 	1.0888    	1.1474    	0.0516 	0.074 	1.3501 	2.6764 	
