Time 	Number in Queue
0.1		4
0.2		3
0.3		2
0.4		5
0.5		3
0.6		4
0.7		4
0.7999		4
0.9		3
0.9999		3
1.0999		5
1.2		5
1.3		3
1.4		4
1.5		5
1.6		5
1.7		3
1.8		0
1.9		1
2.0		4
2.1		5
2.2		4
2.3		5
2.4		5
2.5		3
2.6		4
2.7		3
2.8		3
2.9		3
3.0		5
3.1		3
3.2		0
3.3		1
3.4		3
3.5		2
3.6		5
3.7		3
3.8		2
3.9		4
4.0		5
4.1		4
4.2		5
4.3		5
4.4		4
4.5		4
4.6		5
4.6999		5
4.7999		5
4.8999		4
4.9999		2
5.0999		5
5.1999		4
5.2999		4
5.3999		2
5.4999		3
5.5999		2
5.6999		3
5.7999		4
5.8999		4
5.9999		5
6.0999		5
6.1999		4
6.2999		3
6.3999		5
6.4999		4
6.5999		5
6.6999		4
6.7999		4
6.8999		5
6.9999		4
7.0999		4
7.1999		4
7.2999		5
7.3999		2
7.4999		3
7.5999		2
7.6999		1
7.7999		4
7.8999		3
7.9999		3
8.0999		5
8.1999		4
8.2999		4
8.3999		3
8.4999		3
8.5999		4
8.6999		5
8.7999		3
8.8999		4
8.9999		5
9.0999		4
9.1999		4
9.2999		4
9.3999		3
9.4999		2
9.5999		1
9.6999		2
9.7999		3
9.8999		5
9.9999		4
10.0999		4
10.1999		5
10.2999		4
10.3999		4
10.4999		4
10.5999		3
10.6999		3
10.7999		3
10.8999		0
10.9999		1
11.0999		1
11.1999		4
11.2999		4
11.3999		4
11.4999		5
11.5999		3
11.6999		5
11.7999		2
11.8999		1
11.9999		5
12.0999		2
12.1999		1
12.2999		2
12.3999		0
12.4999		0
12.5999		5
12.6999		3
12.7999		5
12.8999		5
12.9999		4
13.0999		3
13.1999		5
13.2999		4
13.3999		5
13.4999		4
13.5999		5
13.6999		3
13.7999		5
13.8999		3
13.9999		5
14.0999		5
14.1999		4
14.2999		5
14.3999		4
14.4999		3
14.5999		4
14.6999		4
14.7999		1
14.8999		5
14.9999		4
15.0999		4
15.1999		4
15.2999		5
15.3999		4
15.4999		5
15.5999		3
15.6999		5
15.7999		4
15.8999		5
15.9999		3
16.0999		5
16.1999		5
16.2999		5
16.3999		4
16.4999		5
16.5999		5
16.6999		5
16.7999		5
16.8999		4
16.9999		3
17.0999		4
17.1999		1
17.2999		2
17.3999		2
17.4999		3
17.5999		4
17.6999		5
17.7999		5
17.8999		3
17.9999		4
18.0999		5
18.1999		3
18.2999		5
18.3999		5
18.4999		4
18.5999		2
18.6999		5
18.7999		5
18.9		4
19.0		5
19.1		3
19.2		0
19.3		3
19.4		1
19.5		4
19.6		5
19.7		3
19.8		4
19.9		5
20.0		5
20.1		5
20.2		4
20.3		4
20.4		5
20.5		5
20.6		4
20.7		5
20.8		4
20.9		4
21.0		4
21.1		4
21.2		4
21.3		3
21.4		4
21.5		4
21.6		5
21.7		5
21.8		4
21.9		4
22.0		4
22.1		1
22.2		3
22.3		5
22.4		5
22.5		4
22.6		4
22.7		4
22.8		4
22.9		5
23.0		5
23.1		4
23.2		5
