Time 	Number in Queue
0.1		2
0.2		1
0.3		3
0.4		0
0.5		0
0.6		1
0.7		1
0.7999		2
0.9		3
0.9999		1
1.0999		0
1.2		1
1.3		2
1.4		1
1.5		0
1.6		3
1.7		0
1.8		0
1.9		0
2.0		3
2.1		5
2.2		4
2.3		5
2.4		4
2.5		4
2.6		3
2.7		0
2.8		1
2.9		2
3.0		4
3.1		4
3.2		1
3.3		3
3.4		5
3.5		4
3.6		4
3.7		2
3.8		4
3.9		4
4.0		5
4.1		2
4.2		1
4.3		0
4.4		3
4.5		0
4.6		2
4.6999		0
4.7999		2
4.8999		4
4.9999		0
5.0999		3
5.1999		0
5.2999		2
5.3999		4
5.4999		4
5.5999		4
5.6999		3
5.7999		5
5.8999		5
5.9999		5
6.0999		5
6.1999		5
6.2999		3
6.3999		0
6.4999		4
6.5999		5
6.6999		1
6.7999		1
6.8999		1
6.9999		2
7.0999		4
7.1999		2
7.2999		1
7.3999		0
7.4999		0
7.5999		3
7.6999		4
7.7999		3
7.8999		5
7.9999		4
8.0999		2
8.1999		0
8.2999		2
8.3999		5
8.4999		3
8.5999		5
8.6999		5
8.7999		3
8.8999		2
8.9999		0
9.0999		1
9.1999		2
9.2999		5
9.3999		3
9.4999		2
9.5999		0
9.6999		0
9.7999		0
9.8999		0
9.9999		1
10.0999		2
10.1999		2
10.2999		2
10.3999		1
10.4999		3
10.5999		3
10.6999		5
10.7999		3
10.8999		2
10.9999		1
11.0999		2
11.1999		0
11.2999		1
11.3999		3
11.4999		4
11.5999		1
11.6999		5
11.7999		0
11.8999		0
11.9999		0
12.0999		5
12.1999		2
12.2999		5
12.3999		5
12.4999		3
12.5999		2
12.6999		4
12.7999		4
12.8999		5
12.9999		5
13.0999		2
13.1999		2
13.2999		2
13.3999		3
13.4999		4
13.5999		1
13.6999		1
13.7999		3
13.8999		5
13.9999		2
14.0999		5
14.1999		4
14.2999		2
14.3999		3
14.4999		2
14.5999		2
14.6999		2
14.7999		2
14.8999		4
14.9999		3
15.0999		5
15.1999		4
15.2999		2
15.3999		3
15.4999		1
15.5999		0
15.6999		2
15.7999		1
15.8999		1
15.9999		2
16.0999		4
16.1999		2
16.2999		1
16.3999		0
16.4999		2
16.5999		2
16.6999		4
16.7999		3
16.8999		4
16.9999		5
17.0999		2
17.1999		4
17.2999		2
17.3999		2
17.4999		0
17.5999		4
17.6999		5
17.7999		1
17.8999		0
17.9999		5
18.0999		4
18.1999		3
18.2999		5
18.3999		5
18.4999		3
18.5999		3
18.6999		2
18.7999		3
18.9		2
19.0		5
19.1		4
19.2		3
19.3		1
19.4		1
19.5		3
19.6		5
19.7		1
19.8		4
19.9		1
20.0		0
20.1		1
20.2		0
20.3		1
20.4		3
20.5		2
20.6		4
20.7		5
20.8		3
20.9		2
21.0		1
21.1		1
21.2		2
21.3		0
21.4		4
21.5		2
21.6		0
21.7		0
21.8		1
21.9		0
22.0		2
22.1		1
22.2		4
22.3		3
22.4		2
22.5		5
22.6		4
22.7		4
22.8		1
22.9		3
23.0		3
23.1		2
23.2		4
23.3		3
23.4		0
23.5		0
23.6		2
23.7		3
23.8		5
23.9		5
24.0		4
24.1		2
24.2		3
24.3		4
24.4		3
24.5		2
24.6		5
24.7		5
24.8		3
24.9		5
25.0		3
25.1		3
25.2		2
25.3		4
25.4		3
25.5		1
25.6		5
25.7		5
25.8		4
25.9		4
26.0		4
26.1		4
26.2		2
26.3		0
26.4		2
26.5		1
26.6		1
26.7		0
26.8		1
26.9		0
27.0		1
27.1		2
27.2		2
27.3		4
27.4		5
27.5		4
27.6		5
27.7		3
27.8		2
27.9		2
28.0		2
28.1		4
28.2		1
28.3		2
28.4		1
28.5		0
28.6		1
28.7		1
28.8		4
28.9		1
29.0		0
29.1		0
29.2		4
29.3		3
29.4		5
29.5		3
29.6		1
29.7		1
29.8		0
29.9		0
30.0		3
30.1		5
30.2		5
30.3		2
30.4		3
30.5		3
30.6		3
30.7		1
30.8		1
30.9		0
31.0		2
31.1		2
31.2		3
31.3		0
31.4		1
31.5		0
31.6		0
31.7		0
31.8		1
31.9		2
32.0		1
32.1		0
32.2		0
32.3		1
32.4		0
32.5		2
32.6		0
32.7		4
32.8		4
32.9		2
33.0		2
33.1		5
33.2		4
33.3		1
33.4		0
33.5		3
33.6		4
33.7		4
33.8		5
33.9		5
34.0		1
34.1		0
34.2		2
34.3		3
34.4		4
34.5		4
34.6		4
34.7		4
34.8		4
34.9		5
35.0		4
35.1		2
35.2		0
35.3		1
35.4		0
35.5		0
35.6		0
35.7		3
35.8		5
35.9		4
36.0		4
36.1		4
36.2		5
36.3		5
36.4		3
36.5		5
36.6		5
36.7		5
36.8		0
36.9		0
37.0		2
37.1		0
37.2		3
37.3		1
37.4		3
37.5		1
37.6		3
37.7		5
37.8		3
37.9		4
38.0		3
38.1		0
38.2		0
38.3		0
38.4		1
38.5		1
38.6		2
38.7		2
38.8		1
38.9		4
39.0		2
39.1		4
39.2		0
39.3		2
39.4		0
39.5		2
39.6		2
39.7		2
39.8		2
39.9		1
40.0		0
40.1		1
40.2		0
40.3		3
40.4		3
40.5		5
40.6		4
40.7		1
40.8		3
40.9		4
41.0		5
41.1		1
41.2		0
41.3		0
41.4		3
41.5		3
41.6		4
41.7		4
41.8		3
41.9		0
42.0		5
42.1		4
42.2		5
42.3		3
42.4		4
42.5		1
42.6		0
42.7		0
42.8		2
42.9		1
43.0		2
