Time 	Number in Queue
0.1		2
0.2		1
0.3		4
0.4		5
0.5		4
0.6		4
0.7		5
0.7999		2
0.9		3
0.9999		3
1.0999		4
1.2		5
1.3		5
1.4		5
1.5		5
1.6		5
1.7		4
1.8		3
1.9		2
2.0		3
2.1		5
2.2		4
2.3		2
2.4		4
2.5		5
2.6		4
2.7		4
2.8		4
2.9		4
3.0		5
3.1		4
3.2		1
3.3		5
3.4		4
3.5		5
3.6		3
3.7		3
3.8		5
3.9		4
4.0		1
4.1		5
4.2		5
4.3		4
4.4		2
4.5		3
4.6		5
4.6999		5
4.7999		5
4.8999		3
4.9999		5
5.0999		5
5.1999		5
5.2999		3
5.3999		4
5.4999		3
5.5999		2
5.6999		5
5.7999		3
5.8999		4
5.9999		3
6.0999		4
6.1999		1
6.2999		3
6.3999		4
6.4999		3
6.5999		5
6.6999		5
6.7999		0
6.8999		2
6.9999		0
7.0999		5
7.1999		2
7.2999		1
7.3999		5
7.4999		3
7.5999		5
7.6999		2
7.7999		4
7.8999		4
7.9999		3
8.0999		5
8.1999		5
8.2999		4
8.3999		5
8.4999		0
8.5999		1
8.6999		3
8.7999		2
8.8999		5
8.9999		0
9.0999		0
9.1999		1
9.2999		5
9.3999		3
9.4999		4
9.5999		4
9.6999		3
9.7999		5
9.8999		5
9.9999		2
10.0999		2
10.1999		5
10.2999		2
10.3999		2
10.4999		5
10.5999		5
10.6999		4
10.7999		5
10.8999		3
10.9999		4
11.0999		2
11.1999		1
11.2999		5
11.3999		2
11.4999		1
11.5999		4
11.6999		4
11.7999		2
11.8999		5
11.9999		4
12.0999		5
12.1999		5
12.2999		3
12.3999		5
12.4999		2
12.5999		3
12.6999		4
12.7999		4
12.8999		4
12.9999		1
13.0999		3
13.1999		3
13.2999		3
13.3999		2
13.4999		1
13.5999		1
13.6999		2
13.7999		4
13.8999		5
13.9999		4
14.0999		1
14.1999		4
14.2999		5
14.3999		3
14.4999		1
14.5999		5
14.6999		5
14.7999		5
14.8999		5
14.9999		5
15.0999		3
15.1999		3
15.2999		4
15.3999		2
15.4999		5
15.5999		4
15.6999		5
15.7999		4
15.8999		5
15.9999		5
16.0999		2
16.1999		5
16.2999		4
16.3999		4
16.4999		4
16.5999		2
16.6999		5
16.7999		5
16.8999		3
16.9999		3
17.0999		3
17.1999		3
17.2999		5
17.3999		4
17.4999		3
17.5999		4
17.6999		5
17.7999		5
17.8999		5
17.9999		1
18.0999		3
18.1999		4
18.2999		3
18.3999		5
18.4999		4
18.5999		4
18.6999		3
18.7999		4
18.9		5
19.0		5
19.1		3
19.2		5
19.3		2
19.4		3
19.5		1
19.6		5
19.7		3
19.8		2
19.9		5
20.0		4
20.1		3
20.2		3
20.3		5
20.4		2
20.5		5
20.6		3
20.7		5
20.8		3
20.9		5
21.0		5
21.1		4
21.2		4
21.3		5
21.4		4
21.5		3
21.6		4
21.7		4
21.8		3
21.9		4
22.0		3
22.1		5
22.2		3
22.3		4
22.4		5
22.5		4
22.6		5
22.7		5
22.8		5
22.9		4
23.0		3
23.1		5
23.2		4
23.3		5
23.4		5
23.5		4
23.6		5
23.7		5
23.8		5
23.9		5
24.0		4
24.1		1
24.2		5
24.3		4
24.4		3
24.5		3
24.6		5
24.7		5
24.8		1
24.9		4
25.0		0
25.1		2
25.2		5
25.3		4
25.4		5
25.5		4
25.6		1
25.7		3
25.8		0
25.9		2
26.0		4
26.1		5
26.2		1
26.3		5
26.4		2
26.5		4
26.6		4
26.7		2
26.8		5
26.9		3
27.0		3
27.1		4
27.2		1
27.3		3
27.4		5
27.5		3
27.6		4
27.7		3
27.8		4
27.9		5
28.0		5
28.1		5
28.2		4
28.3		5
28.4		5
28.5		5
28.6		4
28.7		4
28.8		5
28.9		5
29.0		4
29.1		3
29.2		5
29.3		4
29.4		4
29.5		2
29.6		4
29.7		5
29.8		5
29.9		2
30.0		5
30.1		3
30.2		1
30.3		5
30.4		5
30.5		3
30.6		5
30.7		4
30.8		3
30.9		5
31.0		4
31.1		5
31.2		4
31.3		4
31.4		5
31.5		5
31.6		4
31.7		3
31.8		1
31.9		4
32.0		4
32.1		4
32.2		5
32.3		4
32.4		4
32.5		5
32.6		4
32.7		4
32.8		4
32.9		4
33.0		5
33.1		5
33.2		5
33.3		5
33.4		5
33.5		3
33.6		3
33.7		2
33.8		5
33.9		5
34.0		5
34.1		4
34.2		4
34.3		4
34.4		5
34.5		5
34.6		4
34.7		5
34.8		3
34.9		5
35.0		5
35.1		4
35.2		4
35.3		4
35.4		5
35.5		5
35.6		5
35.7		5
35.8		3
35.9		4
36.0		5
36.1		5
36.2		4
36.3		5
36.4		4
36.5		1
36.6		4
36.7		3
36.8		1
36.9		0
37.0		4
37.1		4
37.2		3
37.3		2
37.4		2
37.5		4
37.6		3
37.7		3
37.8		5
37.9		4
38.0		1
38.1		5
38.2		4
38.3		5
38.4		5
38.5		3
38.6		4
38.7		4
38.8		5
38.9		5
39.0		3
39.1		1
39.2		4
39.3		5
39.4		4
39.5		2
39.6		1
39.7		1
39.8		1
39.9		2
40.0		5
40.1		5
40.2		1
40.3		4
40.4		5
40.5		5
40.6		5
40.7		3
40.8		4
40.9		5
41.0		2
41.1		1
41.2		0
41.3		1
41.4		1
41.5		3
41.6		0
41.7		5
41.8		3
41.9		3
42.0		4
42.1		1
42.2		5
42.3		3
42.4		3
42.5		3
42.6		2
42.7		1
42.8		3
42.9		5
43.0		5
