Lambda: 5.0	Ts: 0.15	Simulation Time: 1000.0

IAT   	Ts     	Arr   	Dep   	Tq     	Tw     	q 	w 	n 

0.858	0.028	0.1167	0.1448	0.028	0.0	0	0	1
0.0457	0.0117	0.9748	0.9865	0.0117	0.0	0	0	1
0.8422	0.1774	1.0205	1.1979	0.1774	0.0	0	0	1
0.1986	0.0734	1.8627	1.9362	0.0734	0.0	0	0	1
0.0386	0.0613	2.0614	2.1227	0.0613	0.0	0	0	2
0.1806	0.0919	2.1122	2.2146	0.1024	0.0105	0	0	2
0.2256	0.4022	2.1508	2.6169	0.466	0.0637	2	0	4
0.2256	0.0514	2.3315	2.6684	0.3368	0.2854	1	1	3
0.2256	0.0074	2.4725	2.6758	0.2033	0.1958	1	0	2
0.1798	0.1697	2.5759	2.8455	0.2696	0.0999	1	0	2
0.8221	0.2823	2.8015	3.1279	0.3263	0.0439	1	0	3
0.8221	0.1428	2.9814	3.2707	0.2893	0.1465	1	0	2
0.8221	0.0049	3.0504	3.2757	0.2253	0.2203	1	1	1
0.2999	0.3167	3.8726	4.1894	0.3167	0.0	1	0	2
0.1882	0.2182	3.9693	4.4076	0.4383	0.22	2	1	2
0.4496	0.2899	4.2692	4.6975	0.4282	0.1383	2	0	2
0.4496	0.0383	4.4575	4.7359	0.2784	0.24	1	1	1
0.9139	0.1478	4.9072	5.055	0.1478	0.0	0	0	2
0.9139	0.3511	4.9904	5.4061	0.4157	0.0645	2	0	1
0.1617	0.1285	5.9043	6.0328	0.1285	0.0	0	0	1
0.0163	0.0697	6.066	6.1358	0.0697	0.0	0	0	2
0.1345	0.3115	6.1295	6.4473	0.3177	0.0062	1	0	3
0.2412	0.1721	6.1458	6.6194	0.4735	0.3014	2	1	4
0.165	0.2563	6.3474	6.8758	0.5283	0.272	2	1	4
0.2123	0.0939	6.482	6.9697	0.4877	0.3937	2	1	4
0.2123	0.1443	6.5171	7.114	0.5969	0.4525	2	2	3
0.1517	0.1533	6.7583	7.2673	0.509	0.3556	2	1	4
0.1517	0.0089	6.9234	7.2763	0.3529	0.3439	1	1	3
0.1113	0.0969	7.1358	7.3732	0.2374	0.1405	1	0	3
0.8919	0.0773	7.1783	7.4505	0.2721	0.1948	1	0	3
0.8919	0.0337	7.3301	7.4843	0.1541	0.1204	0	0	2
0.8919	0.2734	7.4415	7.7578	0.3162	0.0427	1	0	1
0.2394	0.0095	8.3335	8.343	0.0095	0.0	0	0	1
0.2759	0.0079	8.5729	8.5808	0.0079	0.0	0	0	1
0.2268	0.0757	8.8489	8.9246	0.0757	0.0	0	0	1
0.2674	0.11	9.0758	9.1858	0.11	0.0	0	0	1
0.4134	0.0046	9.3433	9.3479	0.0046	0.0	0	0	1
0.135	1.0703	9.7567	10.8271	1.0703	0.0	5	0	7
0.0655	0.4743	9.8604	11.3015	1.441	0.9666	7	4	9
0.0327	0.0762	9.893	11.3777	1.4847	1.4085	7	7	10
0.4586	0.2172	9.9685	11.595	1.6265	1.4092	8	7	10
0.4586	0.1101	10.3078	11.7052	1.3973	1.2871	6	6	9
0.3536	0.1867	10.5591	11.8919	1.3327	1.146	6	5	9
0.3536	0.0547	10.7065	11.9467	1.2401	1.1853	6	5	8
0.3536	0.0422	10.8416	11.9889	1.1472	1.105	5	5	7
0.3536	0.1061	11.0884	12.095	1.0066	0.9005	5	4	6
0.4712	0.446	11.2636	12.5411	1.2775	0.8314	6	4	6
0.4712	0.0702	11.3291	12.6114	1.2822	1.212	6	6	5
0.0278	0.1382	11.374	12.7496	1.3756	1.2373	6	6	6
0.5138	0.0628	11.4068	12.8124	1.4056	1.3428	7	6	6
0.5138	0.1085	11.8654	12.921	1.0555	0.9469	5	4	5
0.3796	0.5397	12.2191	13.4608	1.2416	0.7019	6	3	5
0.1176	0.2467	12.6904	13.7076	1.0171	0.7704	5	3	5
0.5879	0.2302	12.7484	13.9378	1.1893	0.9591	5	4	6
0.5879	0.0509	12.7763	13.9888	1.2124	1.1615	6	5	5
0.5879	0.2121	13.2901	14.201	0.9108	0.6986	4	3	4
0.5879	0.207	13.6698	14.408	0.7382	0.5311	3	2	3
0.1557	0.2144	13.7875	14.6225	0.835	0.6205	4	3	3
0.0365	0.0456	13.9207	14.6682	0.7474	0.7018	3	3	3
0.0365	0.014	14.5086	14.6822	0.1735	0.1595	0	0	2
0.1079	0.05	14.6643	14.7322	0.0679	0.0178	0	0	2
0.378	0.3229	14.7008	15.0552	0.3543	0.0314	1	0	2
0.378	0.0932	14.8088	15.1485	0.3396	0.2464	1	1	1
0.2474	0.1662	15.1868	15.353	0.1662	0.0	0	0	2
0.2474	0.0449	15.2401	15.3979	0.1578	0.1128	0	0	1
0.3535	0.5228	15.4875	16.0104	0.5228	0.0	2	0	5
0.3535	0.0218	15.6564	16.0323	0.3758	0.354	1	1	4
0.3535	0.0383	15.685	16.0706	0.3855	0.3472	1	1	3
0.5935	0.2503	15.8369	16.321	0.484	0.2336	2	1	4
0.5935	0.1079	15.8505	16.429	0.5784	0.4704	2	2	3
0.5935	0.342	16.2041	16.771	0.5669	0.2248	2	1	2
0.0792	0.2594	16.2272	17.0304	0.8032	0.5438	4	2	4
0.374	0.2832	16.8207	17.3137	0.4929	0.2097	2	1	4
