K: 5
Lambda: 30.0
Ts: 0.03
Simulation Time: 100.0

time      	IAT  	Ts		Rho    	Arr      	Dep     	Tw     	Tq     	w   	q   

0.0080    	0.0344 	0.0037 	0.1075 	0.0043    	0.0080    	0.0 	0.0037 	0.8924 	1.0 	
0.0815    	0.0564 	0.0232 	0.5873 	0.0388    	0.0815    	0.0 	0.0232 	0.9126 	1.5 	
0.1306    	0.047 	0.0318 	0.9719 	0.0445    	0.1306    	0.0123 	0.0441 	0.6947 	1.6666 	
0.148    	0.0372 	0.0282 	1.2878 	0.0771    	0.148    	0.0226 	0.0508 	0.4621 	1.75 	
0.1673    	0.0405 	0.0264 	1.1022 	0.1171    	0.1673    	0.0242 	0.0507 	0.6977 	1.8 	
0.1986    	0.0337 	0.0272 	1.0154 	0.1453    	0.1986    	0.0239 	0.0511 	0.8178 	1.8333 	
0.2646    	0.0404 	0.0327 	1.0302 	0.1531    	0.2646    	0.0269 	0.0597 	0.9697 	2.0 	
0.2925    	0.0371 	0.0321 	1.1469 	0.2069    	0.2925    	0.0308 	0.063 	0.978 	2.125 	
0.3039    	0.0518 	0.0298 	1.0269 	0.2114    	0.3039    	0.0364 	0.0662 	1.1952 	2.2222 	
0.3294    	0.0466 	0.0294 	0.9392 	0.2282    	0.3294    	0.0403 	0.0697 	1.3607 	2.3 	
0.342    	0.0424 	0.0279 	0.8606 	0.2871    	0.342    	0.0405 	0.0684 	1.412 	2.2727 	
0.3929    	0.0389 	0.0298 	0.8138 	0.3014    	0.3929    	0.0405 	0.0703 	1.3527 	2.1666 	
0.4784    	0.0411 	0.028 	0.7595 	0.4711    	0.4784    	0.0374 	0.0655 	1.3173 	2.0769 	
0.5685    	0.0405 	0.0282 	1.0833 	0.5387    	0.5685    	0.0347 	0.0629 	0.988 	2.0714 	
0.5745    	0.042 	0.0267 	1.0174 	0.5649    	0.5745    	0.0326 	0.0593 	1.0491 	2.0666 	
0.5799    	0.0394 	0.0253 	0.9592 	0.5665    	0.5799    	0.0311 	0.0565 	1.1032 	2.0625 	
0.6083    	0.0371 	0.0255 	0.9291 	0.5721    	0.6083    	0.0297 	0.0553 	1.0708 	2.0 	
0.6366    	0.0358 	0.0242 	0.8821 	0.6354    	0.6366    	0.0281 	0.0523 	1.0622 	1.9444 	
0.6556    	0.0348 	0.0232 	0.8529 	0.6502    	0.6556    	0.0266 	0.0498 	1.0418 	1.8947 	
0.7073    	0.0355 	0.024 	0.8517 	0.6667    	0.7073    	0.0252 	0.0493 	0.9982 	1.85 	
0.7756    	0.0375 	0.0258 	0.8795 	0.7156    	0.7756    	0.024 	0.0498 	0.93 	1.8095 	
0.7945    	0.0404 	0.0254 	0.8481 	0.75    	0.7945    	0.0241 	0.0496 	0.97 	1.8181 	
0.8055    	0.0386 	0.0248 	0.816 	0.7918    	0.8055    	0.0232 	0.048 	1.01 	1.826 	
0.944    	0.041 	0.0295 	0.8555 	0.7939    	0.944    	0.0227 	0.0523 	1.0194 	1.875 	
0.9729    	0.0394 	0.0295 	0.836 	0.8937    	0.9729    	0.0238 	0.0534 	1.0839 	1.92 	
0.9919    	0.0387 	0.0291 	0.8381 	0.898    	0.9919    	0.0258 	0.0549 	1.0849 	1.923 	
0.9991    	0.0373 	0.0283 	0.8195 	0.912    	0.9991    	0.0278 	0.0561 	1.1063 	1.9259 	
1.0116    	0.0359 	0.0277 	0.8111 	0.9905    	1.0116    	0.0271 	0.0549 	1.0816 	1.8928 	
1.0349    	0.0362 	0.0276 	0.8094 	1.0118    	1.0349    	0.0261 	0.0538 	1.0526 	1.862 	
1.0432    	0.035 	0.0269 	0.7916 	1.0242    	1.0432    	0.0256 	0.0526 	1.0416 	1.8333 	
1.0713    	0.0355 	0.0266 	0.7765 	1.0546    	1.0713    	0.0248 	0.0514 	1.0298 	1.8064 	
1.1087    	0.0372 	0.0258 	0.7531 	1.1062    	1.1087    	0.024 	0.0499 	1.028 	1.7812 	
1.2045    	0.0369 	0.0253 	0.7413 	1.1963    	1.2045    	0.0233 	0.0486 	1.0162 	1.7575 	
1.284    	0.0404 	0.0269 	0.7389 	1.2006    	1.284    	0.0227 	0.0497 	1.0551 	1.7941 	
1.288    	0.0393 	0.0262 	0.7188 	1.2233    	1.288    	0.0238 	0.0501 	1.1097 	1.8285 	
1.3322    	0.0382 	0.0267 	0.709 	1.2537    	1.3322    	0.0241 	0.0509 	1.1242 	1.8333 	
1.3378    	0.0372 	0.0262 	0.6911 	1.2606    	1.3378    	0.0254 	0.0516 	1.1196 	1.8108 	
1.3826    	0.0365 	0.0255 	0.6769 	1.3808    	1.3826    	0.0247 	0.0503 	1.1125 	1.7894 	
1.4099    	0.0378 	0.0253 	0.6645 	1.3924    	1.4099    	0.0241 	0.0494 	1.1046 	1.7692 	
1.4931    	0.0372 	0.025 	0.6721 	1.4823    	1.4931    	0.0235 	0.0485 	1.0778 	1.75 	
1.4943    	0.0385 	0.0244 	0.6559 	1.4935    	1.4943    	0.0229 	0.0473 	1.0757 	1.7317 	
1.6086    	0.0383 	0.0243 	0.675 	1.5851    	1.6086    	0.0223 	0.0467 	1.063 	1.738 	
1.633    	0.0381 	0.0243 	0.6933 	1.5894    	1.633    	0.0223 	0.0467 	1.0741 	1.7674 	
1.6378    	0.0372 	0.0239 	0.6841 	1.598    	1.6378    	0.0226 	0.0465 	1.1113 	1.7954 	
1.6462    	0.0379 	0.0236 	0.6717 	1.6142    	1.6462    	0.0226 	0.0462 	1.1282 	1.8 	
1.6501    	0.0371 	0.0231 	0.6583 	1.6268    	1.6501    	0.0225 	0.0457 	1.1459 	1.8043 	
1.6675    	0.0363 	0.023 	0.6498 	1.6435    	1.6675    	0.0222 	0.0452 	1.1373 	1.7872 	
1.7154    	0.0357 	0.0226 	0.6483 	1.711    	1.7154    	0.0217 	0.0444 	1.1224 	1.7708 	
1.7357    	0.0358 	0.0225 	0.6434 	1.7187    	1.7357    	0.0213 	0.0438 	1.1117 	1.7551 	
1.773    	0.0363 	0.0223 	0.6345 	1.7606    	1.773    	0.0208 	0.0432 	1.1054 	1.74 	
1.8843    	0.0374 	0.0231 	0.6366 	1.8223    	1.8843    	0.0204 	0.0435 	1.0888 	1.7254 	
1.8853    	0.0366 	0.0226 	0.6246 	1.8288    	1.8853    	0.0211 	0.0438 	1.0868 	1.7115 	
1.9542    	0.0371 	0.023 	0.6315 	1.9122    	1.9542    	0.0207 	0.0438 	1.0854 	1.7169 	
2.0134    	0.0375 	0.0237 	0.638 	1.9277    	2.0134    	0.0208 	0.0445 	1.0841 	1.7222 	
2.0239    	0.0368 	0.0234 	0.6296 	1.9302    	2.0239    	0.0219 	0.0454 	1.0976 	1.7272 	
2.0292    	0.0362 	0.0231 	0.6199 	1.9726    	2.0292    	0.0225 	0.0456 	1.0943 	1.7142 	
2.208    	0.0383 	0.0253 	0.6256 	2.0569    	2.208    	0.0239 	0.0475 	1.1111 	1.7368 	
2.3852    	0.0405 	0.0274 	0.625 	2.0845    	2.3852    	0.0279 	0.0518 	1.1508 	1.7758 	
2.5252    	0.0408 	0.0288 	0.6472 	2.2833    	2.5252    	0.0308 	0.0551 	1.1663 	1.8135 	
2.5333    	0.0401 	0.0285 	0.642 	2.2856    	2.5333    	0.0342 	0.0583 	1.2079 	1.85 	
2.5673    	0.0401 	0.0286 	0.6466 	2.3656    	2.5673    	0.0364 	0.0606 	1.2222 	1.8688 	
2.5756    	0.0395 	0.0283 	0.6602 	2.4368    	2.5756    	0.0379 	0.0619 	1.2268 	1.887 	
2.5971    	0.041 	0.0282 	0.6521 	2.4398    	2.5971    	0.0395 	0.0634 	1.2525 	1.9047 	
2.6708    	0.0404 	0.0288 	0.6503 	2.4924    	2.6708    	0.0405 	0.0652 	1.2715 	1.9218 	
2.6834    	0.0398 	0.0286 	0.6417 	2.493    	2.6834    	0.0426 	0.0671 	1.2813 	1.923 	
2.6909    	0.0393 	0.0283 	0.6328 	2.5111    	2.6909    	0.0446 	0.0688 	1.2762 	1.909 	
2.7681    	0.0399 	0.0286 	0.6446 	2.7162    	2.7681    	0.0439 	0.0686 	1.2509 	1.8955 	
2.8036    	0.0394 	0.0287 	0.6494 	2.7673    	2.8036    	0.0433 	0.0681 	1.2329 	1.8823 	
2.8164    	0.0394 	0.0285 	0.6459 	2.8037    	2.8164    	0.0427 	0.0673 	1.2236 	1.8695 	
2.8221    	0.0388 	0.0282 	0.6393 	2.8113    	2.8221    	0.0421 	0.0665 	1.2177 	1.8571 	
2.8723    	0.0394 	0.0282 	0.6364 	2.8423    	2.8723    	0.0415 	0.066 	1.2226 	1.8591 	
2.9233    	0.0389 	0.0285 	0.6378 	2.844    	2.9233    	0.0413 	0.0662 	1.2232 	1.8611 	
2.9357    	0.0386 	0.0283 	0.6452 	2.8569    	2.9357    	0.0417 	0.0663 	1.2177 	1.863 	
2.9676    	0.0387 	0.0283 	0.6465 	2.9261    	2.9676    	0.0413 	0.066 	1.2183 	1.8648 	
2.9879    	0.0382 	0.0282 	0.6441 	2.9348    	2.9879    	0.0411 	0.0658 	1.2224 	1.8666 	
3.0257    	0.0389 	0.0284 	0.6429 	2.9453    	3.0257    	0.0412 	0.066 	1.2517 	1.8947 	
3.0927    	0.0393 	0.0288 	0.6471 	2.9885    	3.0927    	0.0411 	0.0665 	1.2749 	1.922 	
3.1213    	0.0388 	0.0288 	0.6441 	2.9917    	3.1213    	0.0419 	0.0673 	1.3045 	1.9487 	
3.1663    	0.0398 	0.029 	0.6405 	2.9953    	3.1663    	0.0429 	0.0686 	1.3214 	1.962 	
3.1751    	0.0393 	0.0288 	0.6334 	3.0119    	3.1751    	0.0443 	0.0698 	1.3415 	1.975 	
3.1959    	0.0389 	0.0287 	0.6277 	3.0803    	3.1959    	0.045 	0.0704 	1.3475 	1.9753 	
3.2132    	0.0384 	0.0286 	0.6217 	3.1497    	3.2132    	0.045 	0.0703 	1.3416 	1.9634 	
3.2783    	0.0381 	0.0283 	0.6201 	3.2734    	3.2783    	0.0444 	0.0695 	1.3316 	1.9518 	
3.3696    	0.0387 	0.0289 	0.6865 	3.2835    	3.3696    	0.0439 	0.0697 	1.2777 	1.9642 	
3.5458    	0.0383 	0.029 	0.6885 	3.362    	3.5458    	0.0451 	0.071 	1.2997 	1.9882 	
3.5783    	0.038 	0.029 	0.7137 	3.3759    	3.5783    	0.0466 	0.0726 	1.2978 	2.0116 	
3.593    	0.0379 	0.0289 	0.7117 	3.3946    	3.593    	0.0482 	0.074 	1.3227 	2.0344 	
3.6334    	0.0378 	0.029 	0.7195 	3.4076    	3.6334    	0.0497 	0.0757 	1.3372 	2.0568 	
3.6402    	0.0375 	0.0287 	0.7228 	3.4078    	3.6402    	0.0517 	0.0775 	1.3557 	2.0786 	
3.6501    	0.0378 	0.0286 	0.7165 	3.4422    	3.6501    	0.0533 	0.0789 	1.3834 	2.1 	
3.695    	0.0374 	0.0287 	0.7162 	3.4427    	3.695    	0.055 	0.0808 	1.4046 	2.1208 	
3.6951    	0.037 	0.0284 	0.7085 	3.4544    	3.6951    	0.057 	0.0826 	1.4219 	2.1304 	
