Time 	Number in Queue
0.1		1
0.2		3
0.3		0
0.4		4
0.5		0
0.6		0
0.7		0
0.7999		0
0.9		0
0.9999		0
1.0999		2
1.2		0
1.3		0
1.4		2
1.5		1
1.6		4
1.7		5
1.8		3
1.9		4
2.0		3
2.1		2
2.2		3
2.3		3
2.4		5
2.5		5
2.6		5
2.7		2
2.8		0
2.9		2
3.0		4
3.1		4
3.2		4
3.3		5
3.4		3
3.5		2
3.6		4
3.7		1
3.8		0
3.9		1
4.0		2
4.1		0
4.2		4
4.3		5
4.4		4
4.5		3
4.6		5
4.6999		3
4.7999		4
4.8999		0
4.9999		0
5.0999		2
5.1999		1
5.2999		3
5.3999		5
5.4999		3
5.5999		4
5.6999		3
5.7999		5
5.8999		4
5.9999		2
6.0999		1
6.1999		4
6.2999		2
6.3999		1
6.4999		2
6.5999		0
6.6999		1
6.7999		4
6.8999		2
6.9999		3
7.0999		1
7.1999		2
7.2999		2
7.3999		0
7.4999		0
7.5999		1
7.6999		0
7.7999		5
7.8999		5
7.9999		3
8.0999		2
8.1999		0
8.2999		0
8.3999		2
8.4999		4
8.5999		2
8.6999		3
8.7999		5
8.8999		2
8.9999		3
9.0999		4
9.1999		4
9.2999		4
9.3999		0
9.4999		1
9.5999		4
9.6999		5
9.7999		1
9.8999		4
9.9999		3
10.0999		1
10.1999		3
10.2999		3
10.3999		1
10.4999		0
10.5999		2
10.6999		5
10.7999		4
10.8999		5
10.9999		5
11.0999		3
11.1999		4
11.2999		4
11.3999		4
11.4999		3
11.5999		0
11.6999		0
11.7999		3
11.8999		3
11.9999		1
12.0999		0
12.1999		1
12.2999		3
12.3999		2
12.4999		4
12.5999		5
12.6999		4
12.7999		4
12.8999		4
12.9999		5
13.0999		3
13.1999		2
13.2999		1
13.3999		1
13.4999		1
13.5999		0
13.6999		1
13.7999		0
13.8999		0
13.9999		3
14.0999		2
14.1999		3
14.2999		3
14.3999		4
14.4999		3
14.5999		4
14.6999		5
14.7999		4
14.8999		4
14.9999		4
15.0999		3
15.1999		1
15.2999		1
15.3999		2
15.4999		1
15.5999		1
15.6999		1
15.7999		2
15.8999		4
15.9999		3
16.0999		2
16.1999		1
16.2999		4
16.3999		5
16.4999		3
16.5999		2
16.6999		5
16.7999		5
16.8999		4
16.9999		0
17.0999		4
17.1999		4
17.2999		3
17.3999		5
17.4999		4
17.5999		4
17.6999		4
17.7999		5
17.8999		4
17.9999		0
18.0999		0
18.1999		2
18.2999		5
18.3999		5
18.4999		3
18.5999		4
18.6999		3
18.7999		3
18.9		4
19.0		5
19.1		3
19.2		2
19.3		4
19.4		4
19.5		3
19.6		3
19.7		4
19.8		5
19.9		5
20.0		2
20.1		2
20.2		4
20.3		5
20.4		3
20.5		3
20.6		4
20.7		3
20.8		4
20.9		2
21.0		4
21.1		3
21.2		1
21.3		2
21.4		5
21.5		4
21.6		0
21.7		1
21.8		3
21.9		1
22.0		3
22.1		4
22.2		0
22.3		1
22.4		2
22.5		5
22.6		3
22.7		3
22.8		2
22.9		4
23.0		3
23.1		2
23.2		1
23.3		3
23.4		0
23.5		0
23.6		3
23.7		3
23.8		2
23.9		0
24.0		4
24.1		4
24.2		4
24.3		2
24.4		3
24.5		1
24.6		0
24.7		1
24.8		0
24.9		1
25.0		2
25.1		4
25.2		3
25.3		4
25.4		2
25.5		0
25.6		0
25.7		1
25.8		2
25.9		4
26.0		5
26.1		4
26.2		5
26.3		3
26.4		0
26.5		4
26.6		5
26.7		2
26.8		0
26.9		3
27.0		0
27.1		2
27.2		0
27.3		0
27.4		1
27.5		0
27.6		0
27.7		1
27.8		1
27.9		3
28.0		1
28.1		0
28.2		4
28.3		5
28.4		5
28.5		3
28.6		0
28.7		2
28.8		1
28.9		4
29.0		2
29.1		1
29.2		1
29.3		0
29.4		0
29.5		0
29.6		0
29.7		0
29.8		0
29.9		1
30.0		2
30.1		2
30.2		4
30.3		1
30.4		2
30.5		3
30.6		3
30.7		1
30.8		2
30.9		0
31.0		1
31.1		0
31.2		1
31.3		0
31.4		1
31.5		2
31.6		3
31.7		2
31.8		3
31.9		4
32.0		4
32.1		2
32.2		0
32.3		1
32.4		0
32.5		1
32.6		2
32.7		0
32.8		2
32.9		1
33.0		1
33.1		1
33.2		5
33.3		3
33.4		0
33.5		3
33.6		3
33.7		4
33.8		1
33.9		3
34.0		4
34.1		3
34.2		5
34.3		0
34.4		2
34.5		1
34.6		4
34.7		5
34.8		4
34.9		5
35.0		3
35.1		3
35.2		3
35.3		3
35.4		5
35.5		4
35.6		1
35.7		0
35.8		1
35.9		0
36.0		1
36.1		1
36.2		3
36.3		1
36.4		3
36.5		4
36.6		5
36.7		5
36.8		2
36.9		3
37.0		0
37.1		2
37.2		0
37.3		0
37.4		2
37.5		1
37.6		0
37.7		1
37.8		2
37.9		5
38.0		5
38.1		0
38.2		1
38.3		1
38.4		0
38.5		3
38.6		5
38.7		2
38.8		2
38.9		1
39.0		0
39.1		1
39.2		2
39.3		1
39.4		1
39.5		0
39.6		3
39.7		2
39.8		3
39.9		3
40.0		4
40.1		3
40.2		0
40.3		1
40.4		3
40.5		2
40.6		2
40.7		3
40.8		2
40.9		3
41.0		2
41.1		5
41.2		4
41.3		3
41.4		0
41.5		5
41.6		4
41.7		1
41.8		1
41.9		0
42.0		0
42.1		4
42.2		4
42.3		4
42.4		1
42.5		0
42.6		1
42.7		1
42.8		2
42.9		3
43.0		3
43.1		3
43.2		1
43.3		1
43.4		1
43.5		3
43.6		1
43.7		3
43.8		0
43.9		5
44.0		5
44.1		5
44.2		2
44.3		4
44.4		5
44.5		0
44.6		2
44.7		1
44.8		2
44.9		0
45.0		0
45.1		1
45.2		0
45.3		2
45.4		0
45.5		2
45.6		1
45.7		1
45.8		3
45.9		2
46.0		2
46.1		0
46.2		5
46.3		5
46.4		2
46.5		3
46.6		1
46.7		2
46.8		2
46.9		4
47.0		3
47.1		5
47.2		5
47.3		3
47.4		1
47.5		0
47.6		4
47.7		2
