Time 	Number in Queue
0.2		0
0.3		0
0.4		0
0.5		0
0.6		0
0.7		0
0.7999		0
0.9		0
0.9999		0
1.0999		1
1.2		0
1.3		0
1.4		0
1.5		0
1.6		0
1.7		0
1.8		0
1.9		1
2.0		0
2.1		1
2.2		2
2.3		1
2.4		2
2.5		3
2.6		4
2.7		1
2.8		1
2.9		1
3.0		2
3.1		3
3.2		2
3.3		0
3.4		0
3.5		0
3.6		0
3.7		0
3.8		0
3.9		1
4.0		2
4.1		2
4.2		1
4.3		2
4.4		2
4.5		2
4.6		2
4.6999		1
4.7999		0
4.8999		0
4.9999		2
5.0999		1
5.1999		1
5.2999		1
5.3999		1
5.4999		0
5.5999		0
5.6999		0
5.7999		0
5.8999		0
5.9999		1
6.0999		1
6.1999		2
6.2999		2
6.3999		3
6.4999		3
6.5999		4
6.6999		3
6.7999		4
6.8999		3
6.9999		3
7.0999		3
7.1999		4
7.2999		2
7.3999		2
7.4999		1
7.5999		1
7.6999		1
7.7999		0
7.8999		0
7.9999		0
8.0999		0
8.1999		0
8.2999		0
8.3999		0
8.4999		0
8.5999		0
8.6999		0
8.7999		0
8.8999		1
8.9999		0
9.0999		1
9.1999		0
9.2999		0
9.3999		0
9.4999		0
9.5999		0
9.6999		0
9.7999		1
9.8999		3
9.9999		4
10.0999		4
10.1999		4
10.2999		4
10.3999		5
10.4999		5
10.5999		6
10.6999		6
10.7999		7
10.8999		7
10.9999		7
11.0999		8
11.1999		8
11.2999		9
11.3999		9
11.4999		10
11.5999		9
11.6999		9
11.7999		8
11.8999		8
11.9999		6
12.0999		5
12.1999		5
12.2999		6
12.3999		6
12.4999		6
12.5999		5
12.6999		5
12.7999		6
12.8999		5
12.9999		4
13.0999		4
13.1999		4
13.2999		5
13.3999		5
13.4999		4
13.5999		4
13.6999		5
13.7999		5
13.8999		5
13.9999		4
14.0999		4
14.1999		4
14.2999		3
14.3999		3
14.4999		2
14.5999		3
14.6999		1
14.7999		1
14.8999		2
14.9999		2
15.0999		1
15.1999		1
15.2999		2
15.3999		0
15.4999		1
15.5999		1
15.6999		3
15.7999		3
15.8999		5
15.9999		5
16.0999		2
16.1999		2
16.2999		4
16.3999		3
16.4999		2
16.5999		2
16.6999		2
16.7999		1
16.8999		2
16.9999		3
17.0999		3
17.1999		4
17.2999		4
17.3999		3
17.4999		5
17.5999		4
17.6999		5
17.7999		6
17.8999		5
17.9999		4
18.0999		6
18.1999		4
18.2999		4
18.3999		2
18.4999		1
18.5999		3
18.6999		3
18.7999		1
18.9		2
19.0		2
19.1		3
19.2		3
19.3		3
19.4		4
19.5		4
19.6		1
19.7		2
19.8		2
19.9		2
20.0		1
20.1		2
20.2		0
20.3		1
20.4		0
20.5		0
20.6		2
20.7		1
20.8		0
20.9		0
21.0		0
21.1		0
21.2		0
21.3		0
21.4		0
21.5		0
21.6		2
21.7		1
21.8		1
21.9		0
22.0		0
22.1		1
22.2		2
22.3		1
22.4		1
22.5		0
22.6		0
22.7		1
22.8		3
22.9		3
23.0		4
23.1		5
23.2		5
23.3		6
23.4		4
23.5		4
23.6		4
23.7		6
23.8		6
23.9		6
24.0		5
24.1		4
24.2		2
24.3		2
24.4		2
24.5		1
24.6		0
