Lambda: 5.0	Ts: 0.0020	Simulation Time: 100.0

IAT   	Ts     	Arr   	Dep   	Tq     	Tw     	q 	w 	n 

0.1294	0.0013	0.0349	0.0363	0.0013	0.0	0.0069	0.0	1
0.0777	0.0010	0.1644	0.1654	0.0010	0.0	0.0052	0.0	1
0.19	7.0E-4	0.2421	0.2429	7.0E-4	0.0	0.0037	0.0	1
0.0146	6.0E-4	0.4322	0.4329	6.0E-4	0.0	0.0033	0.0	1
0.1486	0.0020	0.4469	0.449	0.0020	0.0	0.0103	0.0	1
0.111	5.0E-4	0.5956	0.5961	5.0E-4	0.0	0.0028	0.0	1
0.0020	0.0017	0.7066	0.7084	0.0017	0.0	0.0088	0.0	1
0.9554	0.0014	0.7086	0.7101	0.0014	0.0	0.0072	0.0	1
0.1587	1.0E-4	1.6641	1.6642	1.0E-4	0.0	8.0E-4	0.0	1
0.4454	0.0019	1.8228	1.8248	0.0019	0.0	0.0098	0.0	1
0.1923	0.0026	2.2682	2.2709	0.0026	0.0	0.0134	0.0	1
0.0925	0.0025	2.4605	2.4631	0.0025	0.0	0.0128	0.0	1
0.0755	0.0	2.5531	2.5531	0.0	0.0	1.0E-4	0.0	1
0.0972	9.0E-4	2.6286	2.6296	9.0E-4	0.0	0.0049	0.0	1
0.4773	0.0029	2.7259	2.7288	0.0029	0.0	0.0145	0.0	1
0.3231	0.0027	3.2032	3.206	0.0027	0.0	0.0137	0.0	1
0.0225	0.0030	3.5264	3.5295	0.0030	0.0	0.0154	0.0	1
0.5415	0.0020	3.549	3.551	0.0020	0.0	0.0103	0.0	1
0.0592	0.0045	4.0905	4.0951	0.0045	0.0	0.0227	0.0	1
0.0595	0.0034	4.1498	4.1532	0.0034	0.0	0.017	0.0	1
0.1893	4.0E-4	4.2093	4.2098	4.0E-4	0.0	0.0021	0.0	1
0.02	4.0E-4	4.3987	4.3992	4.0E-4	0.0	0.0024	0.0	1
0.0248	0.0013	4.4187	4.4201	0.0013	0.0	0.0067	0.0	1
0.556	1.0E-4	4.4436	4.4438	1.0E-4	0.0	6.0E-4	0.0	1
0.3571	0.0050	4.9996	5.0046	0.0050	0.0	0.025	0.0	1
0.4299	0.0068	5.3568	5.3636	0.0068	0.0	0.0341	0.0	1
0.0641	0.0046	5.7867	5.7914	0.0046	0.0	0.0231	0.0	1
0.0801	0.0035	5.8509	5.8544	0.0035	0.0	0.0177	0.0	1
0.1159	0.0017	5.931	5.9327	0.0017	0.0	0.0085	0.0	1
0.2329	0.0023	6.047	6.0493	0.0023	0.0	0.0115	0.0	1
0.0502	9.0E-4	6.28	6.281	9.0E-4	0.0	0.0049	0.0	1
0.0902	2.0E-4	6.3302	6.3304	2.0E-4	0.0	0.0010	0.0	1
0.059	0.0	6.4204	6.4205	0.0	0.0	2.0E-4	0.0	1
0.23	0.0013	6.4795	6.4808	0.0013	0.0	0.0066	0.0	1
0.6993	6.0E-4	6.7095	6.7101	6.0E-4	0.0	0.0032	0.0	1
0.2819	0.0023	7.4088	7.4112	0.0023	0.0	0.0119	0.0	1
0.2946	0.0029	7.6907	7.6937	0.0029	0.0	0.0148	0.0	1
0.1235	0.0081	7.9854	7.9935	0.0081	0.0	0.0407	0.0	1
0.3521	0.0042	8.1089	8.1131	0.0042	0.0	0.021	0.0	1
0.5292	0.0	8.461	8.4611	0.0	0.0	2.0E-4	0.0	1
0.4544	0.0022	8.9903	8.9926	0.0022	0.0	0.0113	0.0	1
0.412	0.0018	9.4447	9.4466	0.0018	0.0	0.0091	0.0	1
0.7383	1.0E-4	9.8567	9.8569	1.0E-4	0.0	5.0E-4	0.0	1
0.0192	0.0010	10.5951	10.5961	0.0010	0.0	0.0053	0.0	1
0.0892	6.0E-4	10.6144	10.615	6.0E-4	0.0	0.0034	0.0	1
0.0789	0.0036	10.7036	10.7073	0.0036	0.0	0.0182	0.0	1
0.3806	7.0E-4	10.7825	10.7833	7.0E-4	0.0	0.0038	0.0	1
