Time 	Number in Queue
0.1		5
0.2		11
0.3		15
0.4		28
0.5		31
0.6		36
0.7		39
0.7999		39
0.9		41
0.9999		41
1.0999		47
1.2		55
1.3		62
1.4		64
1.5		70
1.6		75
1.7		74
1.8		72
1.9		71
2.0		78
2.1		78
2.2		79
2.3		82
2.4		84
2.5		90
2.6		98
2.7		110
2.8		118
2.9		123
3.0		124
3.1		127
3.2		127
3.3		140
3.4		149
3.5		154
3.6		158
3.7		159
3.8		162
3.9		173
4.0		175
4.1		182
4.2		188
4.3		196
4.4		201
4.5		207
4.6		210
4.6999		213
4.7999		221
4.8999		228
4.9999		232
5.0999		242
5.1999		248
5.2999		251
5.3999		254
5.4999		254
5.5999		255
5.6999		262
5.7999		272
5.8999		279
5.9999		286
6.0999		292
6.1999		299
6.2999		299
6.3999		298
6.4999		305
6.5999		309
6.6999		312
6.7999		313
6.8999		311
6.9999		318
7.0999		316
7.1999		322
7.2999		326
7.3999		333
7.4999		336
7.5999		343
7.6999		346
7.7999		346
7.8999		355
7.9999		358
8.0999		366
8.1999		367
8.2999		372
8.3999		376
8.4999		383
8.5999		394
8.6999		394
8.7999		404
8.8999		411
8.9999		416
9.0999		421
9.1999		426
9.2999		428
9.3999		428
9.4999		438
9.5999		444
9.6999		450
9.7999		453
9.8999		458
9.9999		465
10.0999		467
10.1999		470
10.2999		475
10.3999		482
10.4999		487
10.5999		494
10.6999		493
10.7999		496
10.8999		497
10.9999		503
11.0999		512
11.1999		514
11.2999		522
11.3999		523
11.4999		521
11.5999		520
11.6999		530
11.7999		534
11.8999		545
11.9999		549
12.0999		555
12.1999		556
12.2999		560
12.3999		567
12.4999		574
12.5999		577
12.6999		587
12.7999		585
12.8999		593
12.9999		597
13.0999		597
13.1999		598
13.2999		599
13.3999		602
13.4999		609
13.5999		610
13.6999		616
13.7999		620
13.8999		627
13.9999		637
14.0999		643
14.1999		643
14.2999		647
14.3999		646
14.4999		659
14.5999		671
14.6999		675
14.7999		683
14.8999		688
14.9999		695
15.0999		697
15.1999		703
15.2999		715
15.3999		723
15.4999		728
15.5999		725
15.6999		731
15.7999		738
15.8999		744
15.9999		744
16.0999		752
16.1999		761
16.2999		763
16.3999		769
16.4999		774
16.5999		778
16.6999		782
16.7999		785
16.8999		792
16.9999		796
17.0999		806
17.1999		820
17.2999		823
17.3999		822
17.4999		830
17.5999		838
17.6999		837
17.7999		842
17.8999		856
17.9999		857
18.0999		864
18.1999		873
18.2999		886
18.3999		893
18.4999		901
18.5999		908
18.6999		914
18.7999		919
18.9		923
19.0		921
19.1		927
19.2		936
19.3		943
19.4		945
19.5		951
19.6		953
19.7		958
19.8		961
19.9		963
20.0		965
20.1		974
20.2		980
20.3		984
20.4		984
20.5		990
20.6		996
20.7		1006
20.8		1010
20.9		1013
21.0		1022
21.1		1030
21.2		1038
21.3		1043
21.4		1045
21.5		1047
21.6		1050
21.7		1059
21.8		1062
21.9		1063
22.0		1063
22.1		1067
22.2		1071
22.3		1073
22.4		1080
22.5		1089
22.6		1097
22.7		1100
22.8		1107
22.9		1115
23.0		1127
23.1		1128
23.2		1130
23.3		1134
23.4		1134
23.5		1143
23.6		1155
23.7		1152
23.8		1157
23.9		1159
24.0		1165
24.1		1163
24.2		1172
24.3		1179
24.4		1189
24.5		1196
24.6		1199
24.7		1202
24.8		1212
24.9		1216
25.0		1223
25.1		1224
25.2		1236
25.3		1241
25.4		1245
25.5		1248
25.6		1252
25.7		1255
25.8		1257
25.9		1257
26.0		1256
26.1		1266
26.2		1267
26.3		1267
26.4		1266
26.5		1273
26.6		1281
26.7		1287
26.8		1293
26.9		1301
27.0		1306
27.1		1310
27.2		1318
27.3		1317
27.4		1316
27.5		1322
27.6		1332
27.7		1340
27.8		1347
27.9		1349
28.0		1362
28.1		1364
28.2		1370
28.3		1374
28.4		1382
28.5		1387
28.6		1398
28.7		1395
28.8		1398
28.9		1400
29.0		1406
29.1		1406
29.2		1412
29.3		1421
29.4		1428
29.5		1434
29.6		1441
29.7		1443
29.8		1446
29.9		1448
30.0		1455
30.1		1468
30.2		1478
30.3		1492
30.4		1496
30.5		1502
30.6		1507
30.7		1509
30.8		1514
30.9		1523
31.0		1531
31.1		1533
31.2		1539
31.3		1543
31.4		1546
31.5		1550
31.6		1547
31.7		1552
31.8		1552
31.9		1557
32.0		1570
32.1		1576
32.2		1589
32.3		1592
32.4		1602
32.5		1602
32.6		1604
32.7		1610
32.8		1608
32.9		1616
33.0		1620
33.1		1626
33.2		1622
33.3		1629
33.4		1630
33.5		1638
33.6		1637
33.7		1642
33.8		1648
33.9		1648
34.0		1650
34.1		1660
34.2		1661
34.3		1669
34.4		1672
34.5		1678
34.6		1679
34.7		1681
34.8		1688
34.9		1687
35.0		1687
35.1		1689
35.2		1698
35.3		1703
35.4		1710
35.5		1711
35.6		1712
35.7		1718
35.8		1718
35.9		1719
36.0		1726
36.1		1740
36.2		1750
36.3		1759
36.4		1761
36.5		1762
36.6		1764
36.7		1770
36.8		1782
36.9		1784
37.0		1794
37.1		1804
37.2		1814
37.3		1822
37.4		1831
37.5		1846
37.6		1852
37.7		1859
37.8		1863
37.9		1869
38.0		1872
38.1		1878
38.2		1881
38.3		1882
38.4		1891
38.5		1904
38.6		1908
38.7		1909
38.8		1913
38.9		1914
39.0		1918
39.1		1927
39.2		1928
39.3		1931
39.4		1937
39.5		1944
39.6		1951
39.7		1951
39.8		1956
39.9		1963
40.0		1971
40.1		1978
40.2		1980
40.3		1984
40.4		1990
40.5		1995
40.6		2001
40.7		2009
40.8		2005
40.9		2010
41.0		2016
41.1		2024
41.2		2029
41.3		2035
41.4		2043
41.5		2044
41.6		2055
41.7		2064
41.8		2073
41.9		2084
42.0		2082
42.1		2088
42.2		2091
42.3		2100
42.4		2104
42.5		2108
42.6		2114
42.7		2119
42.8		2117
42.9		2121
43.0		2124
43.1		2124
43.2		2133
43.3		2131
43.4		2128
43.5		2133
43.6		2137
43.7		2144
43.8		2144
43.9		2157
44.0		2158
44.1		2163
44.2		2167
44.3		2169
44.4		2175
44.5		2183
44.6		2185
44.7		2189
44.8		2201
44.9		2208
45.0		2211
45.1		2212
45.2		2214
45.3		2229
45.4		2236
45.5		2231
