Time 	Number in Queue
0.1		0
0.2		2
0.3		3
0.4		4
0.5		4
0.6		5
0.7		3
0.7999		3
0.9		4
0.9999		4
1.0999		2
1.2		2
1.3		3
1.4		1
1.5		0
1.6		2
1.7		0
1.8		2
1.9		5
2.0		3
2.1		4
2.2		2
2.3		2
2.4		0
2.5		2
2.6		4
2.7		2
2.8		1
2.9		2
3.0		1
3.1		3
3.2		1
3.3		2
3.4		4
3.5		2
3.6		2
3.7		1
3.8		2
3.9		0
4.0		1
4.1		3
4.2		4
4.3		3
4.4		3
4.5		1
4.6		2
4.6999		3
4.7999		1
4.8999		0
4.9999		2
5.0999		4
5.1999		3
5.2999		3
5.3999		1
5.4999		1
5.5999		2
5.6999		2
5.7999		4
5.8999		4
5.9999		3
6.0999		3
6.1999		2
6.2999		2
6.3999		1
6.4999		1
6.5999		1
6.6999		1
6.7999		4
6.8999		2
6.9999		3
7.0999		5
7.1999		2
7.2999		4
7.3999		1
7.4999		0
7.5999		1
7.6999		1
7.7999		1
7.8999		1
7.9999		1
8.0999		1
8.1999		0
8.2999		4
8.3999		5
8.4999		4
8.5999		3
8.6999		2
8.7999		2
8.8999		4
8.9999		4
9.0999		4
9.1999		4
9.2999		4
9.3999		3
9.4999		4
9.5999		3
9.6999		2
9.7999		3
9.8999		2
9.9999		1
10.0999		5
10.1999		4
10.2999		1
10.3999		1
10.4999		0
10.5999		2
10.6999		4
10.7999		3
10.8999		2
10.9999		2
11.0999		2
11.1999		0
11.2999		1
11.3999		2
11.4999		0
11.5999		1
11.6999		2
11.7999		4
11.8999		2
11.9999		4
12.0999		1
12.1999		1
12.2999		1
12.3999		0
12.4999		3
12.5999		4
12.6999		4
12.7999		3
12.8999		4
12.9999		4
13.0999		3
13.1999		3
13.2999		1
13.3999		3
13.4999		3
13.5999		3
13.6999		2
13.7999		2
13.8999		0
13.9999		1
14.0999		1
14.1999		1
14.2999		1
14.3999		2
14.4999		2
14.5999		1
14.6999		0
14.7999		1
14.8999		1
14.9999		0
15.0999		0
15.1999		1
15.2999		0
15.3999		1
15.4999		0
15.5999		1
15.6999		0
15.7999		2
15.8999		3
15.9999		3
16.0999		0
16.1999		0
16.2999		1
16.3999		3
16.4999		4
16.5999		4
16.6999		4
16.7999		5
16.8999		5
16.9999		5
17.0999		3
17.1999		2
17.2999		3
17.3999		5
17.4999		5
17.5999		4
17.6999		2
17.7999		0
17.8999		0
17.9999		0
18.0999		0
18.1999		1
18.2999		0
18.3999		4
18.4999		1
18.5999		3
18.6999		2
18.7999		1
18.9		0
19.0		2
19.1		2
19.2		3
19.3		4
19.4		5
19.5		3
19.6		3
19.7		2
19.8		1
19.9		4
20.0		1
20.1		2
20.2		2
20.3		4
20.4		4
20.5		5
20.6		2
20.7		1
20.8		2
20.9		0
21.0		0
21.1		1
21.2		0
21.3		2
21.4		0
21.5		1
21.6		3
21.7		2
21.8		3
21.9		3
22.0		0
22.1		1
22.2		1
22.3		1
22.4		0
22.5		1
22.6		0
22.7		3
22.8		1
22.9		3
23.0		4
23.1		2
23.2		3
23.3		5
23.4		3
23.5		2
23.6		0
23.7		2
23.8		1
23.9		0
24.0		1
24.1		2
24.2		0
24.3		4
24.4		5
24.5		3
24.6		5
24.7		3
24.8		2
24.9		0
25.0		3
25.1		1
25.2		3
25.3		2
25.4		0
25.5		2
25.6		0
25.7		2
25.8		0
25.9		1
26.0		3
26.1		0
26.2		1
26.3		0
26.4		3
26.5		2
26.6		0
26.7		1
26.8		2
26.9		3
27.0		3
27.1		0
27.2		2
27.3		0
27.4		0
27.5		0
27.6		0
27.7		2
27.8		3
27.9		3
28.0		2
28.1		0
28.2		2
28.3		3
28.4		1
28.5		1
28.6		0
28.7		1
28.8		3
28.9		2
29.0		1
29.1		2
29.2		3
29.3		3
29.4		4
29.5		1
29.6		0
29.7		1
29.8		0
29.9		0
30.0		1
30.1		3
30.2		3
30.3		4
30.4		4
30.5		0
30.6		2
30.7		4
30.8		5
30.9		2
31.0		5
31.1		4
31.2		4
31.3		4
31.4		3
31.5		1
31.6		0
31.7		1
31.8		2
31.9		2
32.0		2
32.1		3
32.2		2
32.3		1
32.4		3
32.5		4
32.6		5
32.7		4
32.8		1
32.9		0
33.0		3
33.1		2
33.2		2
33.3		2
33.4		5
33.5		3
33.6		2
33.7		1
33.8		4
33.9		3
34.0		2
34.1		2
34.2		0
34.3		4
34.4		2
34.5		4
34.6		4
34.7		0
34.8		3
34.9		3
35.0		4
35.1		4
35.2		3
35.3		5
35.4		4
35.5		2
35.6		5
35.7		3
35.8		2
35.9		2
36.0		0
36.1		3
36.2		4
36.3		5
36.4		3
36.5		1
36.6		0
36.7		3
36.8		4
36.9		4
37.0		5
37.1		4
37.2		3
37.3		2
37.4		2
37.5		1
37.6		1
37.7		2
37.8		0
37.9		1
38.0		2
38.1		3
38.2		2
38.3		1
38.4		0
38.5		3
38.6		4
38.7		3
38.8		4
38.9		2
39.0		3
39.1		5
39.2		5
39.3		4
39.4		3
39.5		1
39.6		1
39.7		5
39.8		2
39.9		3
40.0		4
40.1		3
40.2		1
40.3		0
40.4		3
40.5		4
40.6		5
40.7		3
40.8		2
40.9		2
41.0		0
41.1		0
41.2		3
41.3		1
41.4		2
41.5		2
41.6		3
41.7		3
41.8		5
41.9		3
42.0		3
42.1		2
42.2		1
42.3		4
42.4		3
42.5		4
42.6		1
42.7		3
42.8		1
42.9		1
43.0		1
43.1		2
43.2		3
43.3		4
43.4		3
43.5		3
43.6		2
43.7		1
43.8		0
43.9		3
44.0		2
44.1		2
44.2		1
44.3		2
44.4		0
44.5		0
44.6		0
44.7		1
44.8		2
44.9		1
45.0		4
45.1		2
45.2		2
45.3		2
45.4		2
45.5		5
45.6		5
45.7		5
45.8		4
45.9		2
46.0		5
46.1		3
46.2		5
46.3		3
46.4		4
46.5		4
46.6		4
46.7		4
46.8		3
46.9		2
47.0		2
47.1		0
47.2		3
47.3		2
47.4		5
47.5		3
47.6		3
47.7		2
47.8		1
47.9		0
48.0		2
48.1		1
48.2		1
48.3		5
48.4		5
48.5		4
48.6		4
48.7		3
48.8		5
48.9		5
49.0		4
49.1		1
49.2		2
49.3		0
49.4		2
49.5		1
49.6		1
49.7		1
49.8		3
49.9		1
50.0		1
50.1		1
50.2		0
50.3		2
50.4		3
50.5		4
50.6		4
50.7		5
50.8		4
50.9		3
51.0		2
51.1		3
51.2		2
51.3		3
51.4		5
51.5		3
51.6		2
51.7		1
51.8		1
51.9		5
52.0		5
52.1		2
52.2		4
52.3		1
52.4		1
52.5		1
52.6		5
52.7		3
52.8		1
52.9		0
53.0		3
53.1		5
53.2		3
53.3		5
53.4		3
53.5		1
53.6		1
53.7		1
53.8		3
53.9		3
54.0		1
54.1		1
54.2		0
54.3		0
54.4		2
54.5		2
54.6		0
54.7		1
54.8		1
54.9		3
55.0		3
55.1		0
55.2		3
55.3		0
55.4		5
55.5		4
55.6		1
55.7		2
55.8		4
55.9		3
56.0		3
56.1		3
56.2		4
56.3		4
56.4		2
56.5		1
56.6		0
56.7		2
56.8		4
56.9		1
57.0		1
57.1		1
57.2		0
57.3		3
57.4		4
57.5		2
57.6		1
57.7		4
57.8		1
57.9		2
58.0		0
58.1		3
58.2		4
58.3		3
58.4		4
58.5		3
58.6		4
58.7		4
58.8		5
58.9		3
59.0		4
59.1		2
59.2		1
59.3		0
59.4		1
59.5		2
59.6		4
59.7		1
59.8		1
59.9		0
60.0		4
60.1		4
60.2		2
60.3		1
60.4		3
60.5		1
60.6		0
60.7		2
60.8		2
60.9		4
61.0		4
61.1		3
61.2		0
61.3		5
61.4		5
61.5		4
61.6		4
61.7		2
61.8		2
61.9		1
62.0		0
62.1		2
62.2		2
62.3		2
62.4		4
62.5		4
62.6		3
62.7		5
62.8		4
62.9		3
63.0		1
63.1		1
63.2		2
63.3		0
63.4		0
63.5		2
63.6		2
63.7		1
63.8		2
63.9		4
64.0		1
64.1		0
64.2		1
64.3		2
64.4		5
64.5		4
64.6		0
64.7		0
64.8		4
64.9		4
65.0		2
65.1		2
65.2		1
65.3		1
65.4		1
65.5		0
65.6		2
65.7		1
65.8		3
65.9		0
66.0		0
66.1		2
66.2		2
66.3		1
66.4		0
66.5		2
66.6		0
66.7		0
66.8		4
66.9		3
67.0		3
67.1		4
67.2		1
67.3		1
67.4		1
67.5		0
67.6		1
67.7		0
67.8		2
67.9		0
68.0		4
68.1		3
68.2		4
68.3		5
68.4		5
68.5		5
68.6		4
68.7		4
68.8		4
68.9		2
69.0		1
69.1		1
69.2		0
69.3		0
69.4		0
69.5		1
69.6		2
69.7		2
69.8		0
69.9		1
70.0		2
70.1		2
70.2		2
70.3		3
70.4		2
70.5		3
70.6		2
70.7		1
70.8		1
70.9		0
71.0		2
71.1		4
71.2		2
71.3		3
71.4		1
71.5		0
71.6		1
71.7		1
71.8		2
71.9		1
72.0		0
72.1		0
72.2		1
72.3		0
72.4		0
72.5		2
72.6		1
72.7		2
72.8		1
72.9		0
73.0		3
73.1		3
73.2		5
73.3		4
73.4		2
73.5		3
73.6		2
73.7		3
73.8		2
73.9		1
74.0		0
74.1		3
74.2		3
74.3		1
74.4		2
74.5		4
74.6		3
74.7		4
74.8		4
74.9		3
75.0		4
75.1		3
75.2		4
75.3		0
75.3999		0
75.4999		1
75.5999		1
75.6999		0
75.7999		3
75.8999		1
75.9999		2
76.0999		1
76.1999		1
76.2999		0
76.3999		2
76.4999		2
76.5999		2
76.6999		3
76.7999		4
76.8999		2
76.9999		0
77.0999		0
77.1999		0
77.2999		1
77.3999		0
77.4999		0
77.5999		2
77.6999		0
77.7999		1
77.8999		0
77.9999		1
78.0999		0
78.1999		1
78.2999		3
78.3999		5
78.4999		3
78.5999		4
78.6999		4
78.7999		2
78.8999		2
78.9999		1
79.0999		5
79.1999		4
79.2999		1
79.3999		4
79.4999		4
79.5999		3
79.6999		2
79.7999		5
79.8999		3
79.9999		4
80.0999		3
80.1999		0
80.2999		2
80.3999		4
80.4999		4
80.5999		3
80.6999		0
80.7999		2
80.8999		2
80.9999		2
81.0999		2
81.1999		2
81.2999		0
81.3999		0
81.4999		1
81.5999		0
81.6999		1
81.7999		2
81.8999		0
81.9999		2
82.0999		1
82.1999		1
82.2999		0
82.3999		1
82.4999		2
82.5999		2
82.6999		4
82.7999		4
82.8999		3
82.9999		1
83.0999		0
83.1999		3
83.2999		3
83.3999		4
83.4999		4
83.5999		0
83.6999		3
83.7999		5
83.8999		4
83.9999		4
84.0999		4
84.1999		3
84.2999		3
84.3999		1
84.4999		1
84.5999		2
84.6999		0
84.7999		1
84.8999		1
84.9999		2
85.0999		4
85.1999		4
85.2999		2
85.3999		1
85.4999		2
85.5999		2
85.6999		1
85.7999		3
85.8999		4
85.9999		3
86.0999		2
86.1999		0
86.2999		0
86.3999		3
86.4999		2
86.5999		2
86.6999		0
86.7999		4
86.8999		4
86.9999		3
87.0999		4
87.1999		4
87.2999		5
87.3999		4
87.4999		1
87.5999		0
87.6999		1
87.7999		0
87.8999		0
87.9999		0
88.0999		0
88.1999		0
88.2999		1
88.3999		1
88.4999		3
88.5999		0
88.6999		2
88.7999		4
88.8999		1
88.9999		1
89.0999		1
89.1999		0
89.2999		1
89.3999		1
89.4999		1
89.5999		1
89.6999		1
89.7999		1
89.8999		1
89.9999		3
90.0999		1
90.1999		2
90.2999		1
90.3999		2
90.4999		1
90.5999		1
90.6999		2
90.7999		2
90.8999		4
90.9999		0
91.0999		2
91.1999		1
91.2999		1
91.3999		1
91.4999		3
91.5999		4
91.6999		1
91.7999		3
91.8999		3
91.9999		2
92.0999		2
92.1999		3
92.2999		4
92.3999		5
92.4999		5
92.5999		4
92.6999		3
92.7999		2
92.8999		0
92.9999		1
93.0999		1
93.1999		1
93.2999		0
93.3999		2
93.4999		4
93.5999		5
93.6999		5
93.7999		3
93.8999		4
93.9999		3
94.0999		2
94.1999		2
94.2999		4
94.3999		3
94.4999		1
94.5999		3
94.6999		0
94.7999		2
94.8999		2
94.9999		0
95.0999		2
95.1999		1
95.2999		1
95.3999		0
95.4999		3
95.5999		4
95.6999		4
95.7999		5
95.8999		2
95.9999		0
96.0999		0
96.1999		1
96.2999		0
96.3999		4
96.4999		2
96.5999		2
96.6999		2
96.7999		3
96.8999		2
96.9999		2
97.0999		5
97.1999		4
97.2999		4
97.3999		4
97.4999		5
97.5999		5
97.6999		4
97.7999		5
97.8999		5
97.9999		3
98.0999		1
98.1999		2
98.2999		0
98.3999		1
98.4999		1
98.5999		0
98.6999		2
98.7999		0
98.8999		0
98.9999		0
99.0999		2
99.1999		3
99.2999		3
99.3999		2
99.4999		3
99.5999		0
99.6999		1
99.7999		3
99.8999		1
99.9999		3
