Lambda: 100.0	Ts: 0.0085	Simulation Time: 100.0

IAT   	Ts     	Arr   	Dep   	Tq     	Tw     	q 	w 	n 

0.0151	0.0184	0.0414	0.0599	0.0184	0.0	1	0	4
0.0090	0.0198	0.0462	0.0797	0.0334	0.0136	3	1	4
0.0101	0.0119	0.0553	0.0916	0.0362	0.0243	3	2	5
0.0101	0.0017	0.0573	0.0933	0.036	0.0342	3	3	4
0.0122	0.0062	0.0724	0.0996	0.0271	0.0209	2	2	4
0.0122	0.0049	0.0814	0.1045	0.023	0.0181	2	1	3
0.0122	6.0E-4	0.0862	0.1051	0.0189	0.0182	1	1	2
0.0105	0.0128	0.0963	0.118	0.0216	0.0088	2	0	2
0.0214	0.0261	0.1086	0.1442	0.0355	0.0093	3	0	4
0.0214	1.0E-4	0.1192	0.1444	0.0252	0.025	2	2	3
0.0214	7.0E-4	0.1243	0.1451	0.0208	0.02	2	2	2
0.0214	0.0032	0.1392	0.1484	0.0091	0.0058	0	0	1
0.0101	0.0029	0.1607	0.1636	0.0029	0.0	0	0	1
0.0135	5.0E-4	0.1709	0.1714	5.0E-4	0.0	0	0	1
0.0038	8.0E-4	0.1844	0.1852	8.0E-4	0.0	0	0	1
0.0028	5.0E-4	0.1882	0.1888	5.0E-4	0.0	0	0	2
0.0028	0.0011	0.1887	0.1899	0.0012	0.0	0	0	1
0.0072	0.0152	0.1915	0.2068	0.0152	0.0	1	0	2
0.013	0.0090	0.1999	0.2159	0.0159	0.0068	1	0	4
0.013	0.0105	0.2072	0.2264	0.0192	0.0086	1	0	3
0.013	0.0	0.2112	0.2264	0.0152	0.0152	1	1	2
0.0228	0.0197	0.2134	0.2462	0.0328	0.013	3	1	2
0.0133	0.0073	0.2265	0.2536	0.0271	0.0197	2	1	2
0.0116	0.0149	0.2493	0.2685	0.0191	0.0042	1	0	2
0.0116	0.0028	0.2627	0.2714	0.0086	0.0057	0	0	1
0.0317	0.0231	0.2743	0.2975	0.0231	0.0	2	0	5
0.0317	9.0E-4	0.2769	0.2985	0.0216	0.0206	2	2	4
0.0317	0.0178	0.2822	0.3163	0.0341	0.0162	3	1	3
0.0065	0.0183	0.2884	0.3347	0.0462	0.0279	4	2	4
0.0224	0.0021	0.2928	0.3369	0.044	0.0418	4	4	4
0.0224	0.0093	0.3246	0.3462	0.0216	0.0123	2	1	3
0.0224	0.0056	0.3286	0.3519	0.0233	0.0176	2	1	2
0.0224	5.0E-4	0.3351	0.3524	0.0172	0.0167	1	1	1
0.0038	0.0012	0.3576	0.3588	0.0012	0.0	0	0	3
0.0038	0.0010	0.358	0.3598	0.0018	8.0E-4	0	0	2
0.0019	0.0028	0.3588	0.3627	0.0039	0.0010	0	0	2
0.0126	0.0071	0.3626	0.3698	0.0072	1.0E-4	0	0	2
0.0126	0.0065	0.3645	0.3764	0.0119	0.0053	1	0	1
0.0037	0.0033	0.3772	0.3805	0.0033	0.0	0	0	1
0.0065	0.0054	0.3809	0.3864	0.0054	0.0	0	0	2
