K: 5
Lambda: 5.0
Ts: 0.15
Simulation Time: 1000.0

t    	Arr   	Dep   	Tw     	Tq     	w   	q   	n 

0.3131 	0.3089 	0.3131 	0.0 	0.0042 	-0.0223 	0.021 	1
0.9741 	0.4059 	0.9741 	0.0 	0.5681 	2.0554 	2.8409 	2
1.1947 	0.4896 	1.1947 	0.4844 	0.705 	3.2202 	3.5251 	1
1.4165 	1.213 	1.4165 	0.0 	0.2034 	0.3167 	1.0172 	1
1.7184 	1.5034 	1.7184 	0.0 	0.2149 	0.2858 	1.0745 	1
1.8477 	1.7759 	1.8477 	0.0 	0.0717 	-0.1465 	0.3586 	1
2.1863 	1.9179 	2.1863 	0.0 	0.2683 	0.6425 	1.3417 	1
2.3954 	2.3017 	2.3954 	0.0 	0.0937 	-0.1176 	0.4686 	1
2.4819 	2.4616 	2.4819 	0.0 	0.0203 	-0.0495 	0.1017 	1
2.8868 	2.596 	2.8868 	0.0 	0.2907 	0.7622 	1.4539 	2
2.9895 	2.6196 	2.9895 	0.2672 	0.3699 	1.6055 	1.8498 	1
3.0903 	3.04 	3.0903 	0.0 	0.0503 	0.1768 	0.2519 	1
3.8927 	3.711 	3.8927 	0.0 	0.1817 	0.6776 	0.9085 	2
4.0195 	3.8369 	4.0195 	0.0558 	0.1826 	0.752 	0.913 	1
4.8792 	4.6239 	4.8792 	0.0 	0.2553 	0.4062 	1.2766 	2
4.9606 	4.768 	4.9606 	0.1112 	0.1926 	0.6856 	0.963 	1
5.3087 	5.0613 	5.3087 	0.0 	0.2473 	0.3319 	1.2368 	1
5.4567 	5.3347 	5.4567 	0.0 	0.122 	0.4047 	0.6103 	2
5.5603 	5.3404 	5.5603 	0.1162 	0.2198 	0.9248 	1.0992 	1
5.9449 	5.9341 	5.9449 	0.0 	0.0107 	0.0183 	0.0539 	1
6.4439 	6.2372 	6.4439 	0.0 	0.2066 	-1.3269 	1.0334 	3
6.4455 	6.3327 	6.4455 	0.1111 	0.1127 	0.5454 	0.5637 	2
6.5554 	6.3991 	6.5554 	0.0463 	0.1563 	0.5257 	0.7817 	3
6.6431 	6.4867 	6.6431 	0.0687 	0.1564 	0.5782 	0.7822 	2
6.6518 	6.4869 	6.6518 	0.1562 	0.1649 	0.8045 	0.8248 	1
7.0764 	6.9165 	7.0764 	0.0 	0.1599 	-0.2542 	0.7996 	2
7.2816 	6.9259 	7.2816 	0.1505 	0.3557 	-2.7353 	1.7786 	4
7.5015 	7.0776 	7.5015 	0.2039 	0.4238 	1.7358 	2.119 	4
7.7055 	7.2109 	7.7055 	0.2905 	0.4946 	2.1174 	2.473 	3
7.8211 	7.2691 	7.8211 	0.4363 	0.5519 	2.5583 	2.7597 	2
7.8707 	7.3146 	7.8707 	0.5065 	0.556 	2.694 	2.7804 	1
7.9441 	7.8883 	7.9441 	0.0 	0.0557 	0.159 	0.2788 	1
8.5144 	8.3539 	8.5144 	0.0 	0.1605 	0.528 	0.8026 	1
8.9862 	8.9386 	8.9862 	0.0 	0.0475 	-0.3406 	0.2379 	1
9.2295 	9.0208 	9.2295 	0.0 	0.2086 	0.296 	1.0434 	1
9.3716 	9.3 	9.3716 	0.0 	0.0715 	-0.6263 	0.3578 	1
9.3839 	9.3727 	9.3839 	0.0 	0.0112 	0.0076 	0.056 	1
9.6311 	9.6044 	9.6311 	0.0 	0.0267 	0.0713 	0.1335 	1
10.2008 	10.0333 	10.2008 	0.0 	0.1674 	0.5091 	0.8374 	2
10.5099 	10.1405 	10.5099 	0.0603 	0.3694 	1.2413 	1.8472 	1
10.784 	10.6506 	10.784 	0.0 	0.1334 	0.2565 	0.6671 	3
10.8086 	10.6519 	10.8086 	0.1321 	0.1566 	0.7078 	0.7834 	2
11.0809 	10.6677 	11.0809 	0.1408 	0.4131 	0.4024 	2.0658 	3
11.099 	10.9927 	11.099 	0.0881 	0.1062 	0.4208 	0.5313 	2
11.1475 	11.072 	11.1475 	0.0269 	0.0754 	0.0811 	0.3774 	1
11.4589 	11.2357 	11.4589 	0.0 	0.2232 	-0.2475 	1.116 	4
11.5398 	11.2556 	11.5398 	0.2033 	0.2842 	0.9268 	1.421 	3
11.8455 	11.3401 	11.8455 	0.1997 	0.5054 	0.4254 	2.5271 	5
11.8762 	11.4531 	11.8762 	0.3923 	0.423 	1.9041 	2.1152 	4
11.9461 	11.6168 	11.9461 	0.2593 	0.3292 	1.1655 	1.6464 	3
12.0078 	11.6694 	12.0078 	0.2767 	0.3383 	0.451 	1.6919 	3
