Lambda: 100.0	Ts: 0.02	Simulation Time: 100.0

IAT   	Ts     	Arr   	Dep   	Tq     	Tw     	q 	w 	n 

0.0289	0.0050	0.0046	0.0097	0.0050	0.0	0	0	1
0.0164	0.0659	0.0336	0.0996	0.0659	0.0	6	0	6
0.0164	5.0E-4	0.0612	0.1002	0.0389	0.0384	3	3	5
0.018	0.03	0.0754	0.1302	0.0548	0.0247	5	2	8
0.018	0.0101	0.0812	0.1404	0.0591	0.0489	5	4	7
0.0472	0.0062	0.0878	0.1466	0.0587	0.0525	5	5	9
0.0094	0.1417	0.0922	0.2883	0.1961	0.0544	19	5	15
0.0222	0.058	0.1087	0.3464	0.2377	0.1796	23	17	22
0.0194	0.055	0.115	0.4014	0.2864	0.2313	28	23	28
0.0422	0.0292	0.1235	0.4307	0.3071	0.2778	30	27	30
0.0422	0.0196	0.124	0.4503	0.3263	0.3067	32	30	29
0.0422	0.0054	0.142	0.4558	0.3138	0.3083	31	30	28
0.0279	0.0516	0.1421	0.5074	0.3653	0.3137	36	31	32
0.0095	0.0625	0.144	0.57	0.426	0.3634	42	36	38
0.0232	0.0122	0.1912	0.5823	0.391	0.3787	39	37	39
0.0232	9.0E-4	0.1949	0.5832	0.3883	0.3873	38	38	38
0.0232	0.0022	0.1954	0.5854	0.39	0.3877	39	38	37
0.0232	0.0062	0.2516	0.5917	0.3401	0.3338	34	33	36
0.0071	0.0156	0.2535	0.6073	0.3538	0.3382	35	33	39
0.0092	0.0106	0.278	0.618	0.3399	0.3293	33	32	39
0.0106	0.0266	0.2828	0.6446	0.3617	0.3351	36	33	43
0.0106	0.0012	0.2923	0.6458	0.3535	0.3523	35	35	42
0.0144	0.0125	0.3072	0.6583	0.3511	0.3386	35	33	42
0.0231	0.0092	0.3107	0.6676	0.3568	0.3476	35	34	42
0.0231	0.0054	0.3121	0.673	0.3609	0.3555	36	35	41
0.0231	0.0072	0.3121	0.6803	0.3682	0.3609	36	36	40
0.0231	4.0E-4	0.3225	0.6807	0.3582	0.3578	35	35	39
0.0157	0.0251	0.3298	0.7059	0.3761	0.3509	37	35	41
0.0157	0.0023	0.3327	0.7083	0.3755	0.3732	37	37	40
0.0049	0.0122	0.3549	0.7205	0.3655	0.3533	36	35	40
0.0206	0.0081	0.3613	0.7286	0.3673	0.3592	36	35	41
0.0206	0.0151	0.3682	0.7437	0.3755	0.3603	37	36	40
0.0206	0.0031	0.3685	0.7469	0.3784	0.3752	37	37	39
0.014	0.0113	0.3713	0.7583	0.3869	0.3755	38	37	41
0.014	0.0080	0.384	0.7663	0.3822	0.3742	38	37	40
0.0155	0.0059	0.3954	0.7723	0.3769	0.3709	37	37	40
0.0155	0.0016	0.4148	0.7739	0.3591	0.3574	35	35	39
0.0080	0.0169	0.418	0.7908	0.3728	0.3559	37	35	39
0.0189	0.0568	0.4193	0.8477	0.4284	0.3715	42	37	44
0.0346	0.0194	0.4616	0.8672	0.4055	0.3861	40	38	44
0.0346	0.0060	0.4668	0.8732	0.4064	0.4004	40	40	43
0.0346	0.0041	0.4784	0.8773	0.3989	0.3948	39	39	42
0.0346	0.0151	0.4916	0.8925	0.4008	0.3857	40	38	41
0.032	0.0081	0.501	0.9007	0.3996	0.3915	39	39	41
0.032	0.0041	0.5289	0.9048	0.3758	0.3717	37	37	40
0.032	0.0052	0.5299	0.91	0.3801	0.3749	38	37	39
0.032	0.0091	0.5326	0.9191	0.3865	0.3773	38	37	38
0.0176	0.0126	0.5418	0.9318	0.39	0.3773	39	37	38
0.0176	0.0129	0.5623	0.9448	0.3824	0.3695	38	36	37
0.0085	0.0086	0.5642	0.9534	0.3891	0.3805	38	38	37
0.0103	0.017	0.565	0.9705	0.4054	0.3884	40	38	38
0.0023	0.0044	0.5745	0.9749	0.4004	0.3959	40	39	40
0.0073	0.0028	0.5749	0.9778	0.4028	0.3999	40	39	41
