K: 5
Lambda: 50.0
Ts: 0.03
Simulation Time: 100.0

time      	IAT  	Ts		Rho    	Arr      	Dep     	Tw     	Tq     	w   	q   

0.0516    	0.0338 	0.03 	0.8871 	0.0216    	0.0516    	0.0 	0.0299 	0.1128 	1.0 	
0.0854    	0.039 	0.03 	1.2228 	0.0554    	0.0854    	0.0 	0.03 	0.7771 	2.0 	
0.1154    	0.0462 	0.03 	1.033 	0.0652    	0.1154    	0.0067 	0.0367 	1.6335 	2.6666 	
0.1454    	0.0346 	0.03 	0.9382 	0.0756    	0.1454    	0.0149 	0.0449 	2.0617 	3.0 	
0.1754    	0.047 	0.03 	0.8125 	0.0804    	0.1754    	0.0249 	0.0549 	2.1874 	3.0 	
0.2054    	0.0392 	0.03 	0.7287 	0.0997    	0.2054    	0.0334 	0.0634 	2.2712 	3.0 	
0.2354    	0.0336 	0.03 	0.6688 	0.1143    	0.2354    	0.0416 	0.0716 	2.1882 	2.8571 	
0.2654    	0.0319 	0.03 	0.7732 	0.1602    	0.2654    	0.0458 	0.0758 	1.8517 	2.625 	
0.2954    	0.0306 	0.03 	0.8498 	0.2571    	0.2954    	0.0416 	0.0716 	1.5945 	2.4444 	
0.3254    	0.0315 	0.03 	0.9409 	0.277    	0.3254    	0.0393 	0.0693 	1.659 	2.6 	
0.5354    	0.0297 	0.03 	0.9431 	0.356    	0.5354    	0.0493 	0.0793 	1.6932 	2.6363 	
0.5654    	0.029 	0.03 	1.099 	0.3581    	0.5654    	0.06 	0.09 	1.6509 	2.75 	
0.6554    	0.029 	0.03 	1.1477 	0.397    	0.6554    	0.0729 	0.1029 	1.6983 	2.8461 	
0.6854    	0.0307 	0.03 	1.0969 	0.4136    	0.6854    	0.085 	0.115 	1.8316 	2.9285 	
0.7154    	0.0294 	0.03 	1.0528 	0.4162    	0.7154    	0.0973 	0.1273 	1.9471 	3.0 	
0.7454    	0.0291 	0.03 	1.0867 	0.4237    	0.7454    	0.1094 	0.1394 	1.9757 	3.0625 	
0.8354    	0.0323 	0.03 	1.0491 	0.5267    	0.8354    	0.1194 	0.1494 	2.0685 	3.1176 	
0.8654    	0.0311 	0.03 	1.0157 	0.5578    	0.8654    	0.1281 	0.1581 	2.1509 	3.1666 	
0.8954    	0.0303 	0.03 	1.1681 	0.562    	0.8954    	0.1374 	0.1674 	1.9897 	3.1578 	
0.9254    	0.0305 	0.03 	1.1717 	0.5727    	0.9254    	0.1466 	0.1766 	2.0282 	3.2 	
1.0154    	0.0302 	0.03 	1.2641 	0.6235    	1.0154    	0.1569 	0.1869 	1.9262 	3.1904 	
1.1654    	0.0303 	0.03 	1.29 	0.7509    	1.1654    	0.1672 	0.1972 	1.9372 	3.2272 	
1.1954    	0.0301 	0.03 	1.2905 	0.7554    	1.1954    	0.1778 	0.2078 	1.9703 	3.2608 	
1.2854    	0.0317 	0.03 	1.2642 	0.8937    	1.2854    	0.1854 	0.2154 	1.9857 	3.25 	
1.3154    	0.031 	0.03 	1.24 	0.9014    	1.3154    	0.1934 	0.2234 	1.9999 	3.24 	
1.4054    	0.0318 	0.03 	1.2192 	0.9393    	1.4054    	0.2027 	0.2327 	2.0115 	3.2307 	
1.4354    	0.0316 	0.03 	1.2201 	0.9402    	1.4354    	0.2124 	0.2424 	2.002 	3.2222 	
1.5854    	0.0302 	0.03 	1.2115 	1.0486    	1.5854    	0.2229 	0.2529 	2.0384 	3.25 	
1.6454    	0.0312 	0.03 	1.1801 	1.083    	1.6454    	0.2336 	0.2636 	2.0957 	3.2758 	
1.6754    	0.0306 	0.03 	1.1508 	1.0954    	1.6754    	0.2442 	0.2742 	2.1491 	3.3 	
1.7054    	0.0301 	0.03 	1.1233 	1.1059    	1.7054    	0.2547 	0.2847 	2.1669 	3.2903 	
1.7354    	0.0295 	0.03 	1.0977 	1.1159    	1.7354    	0.2651 	0.2951 	2.1522 	3.25 	
1.7654    	0.0317 	0.03 	1.0702 	1.1596    	1.7654    	0.2745 	0.3045 	2.1115 	3.1818 	
1.7954    	0.0312 	0.03 	1.0444 	1.176    	1.7954    	0.2838 	0.3138 	2.0732 	3.1176 	
