Time 	Number in Queue
0.2		0
0.3		0
0.4		0
0.5		0
0.6		0
0.7		0
0.7999		0
0.9		0
0.9999		0
1.0999		0
1.2		0
1.3		0
1.4		0
1.5		1
1.6		2
1.7		2
1.8		1
1.9		1
2.0		1
2.1		1
2.2		1
2.3		1
2.4		1
2.5		1
2.6		0
2.7		0
2.8		0
2.9		0
3.0		0
3.1		0
3.2		1
3.3		0
3.4		0
3.5		1
3.6		1
3.7		1
3.8		0
3.9		0
4.0		1
4.1		0
4.2		0
4.3		0
4.4		0
4.5		0
4.6		0
4.6999		0
4.7999		3
4.8999		3
4.9999		3
5.0999		3
5.1999		3
5.2999		5
5.3999		6
5.4999		6
5.5999		7
5.6999		8
5.7999		7
5.8999		8
5.9999		7
6.0999		7
6.1999		8
6.2999		8
6.3999		7
6.4999		7
6.5999		6
6.6999		7
6.7999		5
6.8999		6
6.9999		7
7.0999		7
7.1999		7
7.2999		6
7.3999		7
7.4999		6
7.5999		5
7.6999		5
7.7999		4
7.8999		4
7.9999		2
8.0999		2
8.1999		0
8.2999		0
8.3999		0
8.4999		1
8.5999		2
8.6999		2
8.7999		2
8.8999		2
8.9999		0
9.0999		0
9.1999		1
9.2999		1
9.3999		1
9.4999		1
9.5999		2
9.6999		2
9.7999		2
9.8999		1
9.9999		1
10.0999		0
10.1999		1
10.2999		1
10.3999		1
10.4999		1
10.5999		0
10.6999		0
10.7999		0
10.8999		0
10.9999		0
11.0999		0
11.1999		0
11.2999		4
11.3999		4
11.4999		4
11.5999		4
11.6999		5
11.7999		6
11.8999		5
11.9999		5
12.0999		4
12.1999		5
12.2999		3
12.3999		2
12.4999		2
12.5999		2
12.6999		1
12.7999		0
12.8999		0
12.9999		1
13.0999		2
13.1999		1
13.2999		1
13.3999		1
13.4999		0
13.5999		0
13.6999		0
13.7999		0
13.8999		2
13.9999		2
14.0999		3
14.1999		3
14.2999		3
14.3999		3
14.4999		2
14.5999		3
14.6999		4
14.7999		4
14.8999		2
14.9999		2
15.0999		2
15.1999		1
15.2999		0
15.3999		1
15.4999		0
15.5999		0
15.6999		0
15.7999		0
15.8999		1
15.9999		1
16.0999		0
16.1999		0
16.2999		0
16.3999		1
16.4999		0
16.5999		0
16.6999		0
16.7999		0
16.8999		1
16.9999		0
17.0999		0
17.1999		0
17.2999		0
17.3999		1
17.4999		2
17.5999		2
17.6999		2
17.7999		1
17.8999		0
17.9999		0
18.0999		2
18.1999		1
18.2999		0
18.3999		0
18.4999		1
18.5999		1
18.6999		1
18.7999		1
18.9		1
19.0		1
19.1		1
19.2		0
19.3		0
19.4		0
19.5		0
19.6		0
19.7		0
19.8		0
19.9		0
20.0		1
20.1		1
20.2		2
20.3		2
20.4		3
20.5		4
20.6		3
20.7		2
20.8		2
20.9		2
21.0		1
21.1		1
21.2		1
21.3		1
21.4		1
21.5		1
21.6		1
21.7		2
21.8		1
21.9		0
22.0		0
22.1		0
22.2		0
22.3		0
22.4		2
22.5		0
22.6		0
22.7		0
22.8		1
22.9		1
23.0		1
23.1		0
23.2		0
23.3		0
23.4		0
23.5		0
23.6		1
23.7		1
23.8		2
23.9		1
24.0		0
24.1		0
24.2		1
24.3		1
24.4		0
24.5		0
24.6		0
