Time 	Number in Queue
0.1		5
0.2		3
0.3		6
0.4		5
0.5		7
0.6		3
0.7		8
0.7999		3
0.9		3
0.9999		0
1.0999		6
1.2		5
1.3		5
1.4		19
1.5		14
1.6		13
1.7		18
1.8		23
1.9		19
2.0		25
2.1		20
2.2		20
2.3		16
2.4		8
2.5		11
2.6		7
2.7		0
2.8		1
2.9		0
3.0		0
3.1		0
3.2		1
3.3		5
3.4		9
3.5		13
3.6		7
3.7		8
3.8		0
3.9		3
4.0		1
4.1		1
4.2		4
4.3		0
4.4		1
4.5		0
4.6		5
4.6999		9
4.7999		9
4.8999		9
4.9999		2
5.0999		2
5.1999		4
5.2999		10
5.3999		9
5.4999		9
5.5999		7
5.6999		1
5.7999		2
5.8999		6
5.9999		2
6.0999		6
6.1999		6
6.2999		7
6.3999		3
6.4999		6
6.5999		7
6.6999		12
6.7999		16
6.8999		21
6.9999		20
7.0999		15
7.1999		10
7.2999		11
7.3999		5
7.4999		2
7.5999		2
7.6999		1
7.7999		5
7.8999		3
7.9999		2
8.0999		7
8.1999		11
8.2999		3
8.3999		1
8.4999		0
8.5999		3
8.6999		0
8.7999		2
8.8999		3
8.9999		0
9.0999		2
9.1999		2
9.2999		9
9.3999		3
9.4999		1
9.5999		3
9.6999		5
9.7999		8
9.8999		16
9.9999		11
10.0999		8
10.1999		8
10.2999		8
10.3999		8
10.4999		0
10.5999		2
10.6999		2
10.7999		5
10.8999		0
10.9999		0
11.0999		7
11.1999		8
11.2999		8
11.3999		16
11.4999		17
11.5999		12
11.6999		8
11.7999		3
11.8999		4
11.9999		6
12.0999		0
12.1999		4
12.2999		3
12.3999		0
12.4999		1
12.5999		1
12.6999		5
12.7999		5
12.8999		3
12.9999		3
13.0999		2
13.1999		6
13.2999		8
13.3999		0
13.4999		1
13.5999		4
13.6999		2
13.7999		2
13.8999		2
13.9999		2
14.0999		0
14.1999		2
14.2999		0
14.3999		3
14.4999		9
14.5999		5
14.6999		5
14.7999		2
14.8999		3
14.9999		0
15.0999		2
15.1999		8
15.2999		4
15.3999		4
15.4999		8
15.5999		18
15.6999		14
15.7999		13
15.8999		15
15.9999		19
16.0999		23
16.1999		24
16.2999		20
16.3999		12
16.4999		9
16.5999		2
16.6999		5
16.7999		4
16.8999		6
16.9999		2
17.0999		0
17.1999		1
17.2999		2
17.3999		0
17.4999		1
17.5999		0
17.6999		1
17.7999		0
17.8999		1
17.9999		0
18.0999		3
18.1999		0
18.2999		3
18.3999		0
18.4999		0
18.5999		2
18.6999		7
18.7999		8
18.9		14
19.0		10
19.1		2
19.2		5
19.3		0
19.4		1
19.5		2
19.6		0
19.7		2
19.8		1
19.9		0
20.0		5
20.1		2
20.2		0
20.3		2
20.4		2
20.5		0
20.6		4
20.7		0
20.8		0
20.9		6
21.0		0
21.1		5
21.2		5
21.3		10
21.4		12
21.5		17
21.6		13
21.7		11
21.8		2
21.9		1
22.0		0
22.1		1
22.2		2
22.3		0
22.4		0
22.5		6
22.6		9
22.7		8
22.8		9
22.9		3
23.0		0
23.1		4
23.2		4
23.3		0
23.4		0
23.5		0
23.6		0
23.7		2
23.8		8
23.9		11
24.0		14
24.1		12
24.2		19
24.3		15
24.4		15
24.5		5
24.6		0
24.7		0
24.8		2
24.9		3
25.0		1
25.1		11
25.2		8
25.3		6
25.4		7
25.5		8
25.6		9
25.7		0
25.8		5
25.9		7
26.0		3
26.1		5
26.2		0
26.3		1
26.4		1
26.5		1
26.6		0
26.7		2
26.8		8
26.9		7
27.0		3
27.1		3
27.2		1
27.3		5
27.4		0
27.5		12
27.6		8
27.7		6
27.8		9
27.9		5
28.0		5
28.1		2
28.2		1
28.3		5
28.4		7
28.5		8
28.6		4
28.7		5
28.8		12
28.9		7
29.0		7
29.1		15
29.2		18
29.3		8
29.4		5
29.5		0
29.6		2
29.7		3
29.8		2
29.9		1
30.0		4
30.1		0
30.2		3
30.3		11
30.4		8
30.5		2
30.6		0
30.7		5
30.8		2
30.9		0
31.0		9
31.1		14
31.2		12
31.3		16
31.4		14
31.5		6
31.6		6
31.7		0
31.8		1
31.9		0
32.0		2
32.1		4
32.2		5
32.3		5
32.4		0
32.5		0
32.6		0
32.7		0
32.8		3
32.9		6
33.0		8
33.1		14
33.2		12
33.3		14
33.4		1
33.5		5
33.6		7
33.7		8
33.8		2
33.9		0
34.0		4
34.1		12
34.2		9
34.3		0
34.4		3
34.5		2
34.6		0
34.7		5
34.8		3
34.9		11
35.0		10
35.1		9
35.2		3
35.3		7
35.4		7
35.5		3
35.6		3
35.7		3
35.8		0
35.9		6
36.0		5
36.1		3
36.2		6
36.3		3
36.4		1
36.5		1
36.6		5
36.7		6
36.8		5
36.9		1
37.0		2
37.1		5
37.2		4
37.3		0
37.4		3
37.5		0
37.6		1
37.7		0
37.8		4
37.9		8
38.0		3
38.1		5
38.2		4
38.3		12
38.4		9
38.5		1
38.6		3
38.7		1
38.8		3
38.9		3
39.0		4
39.1		6
39.2		7
39.3		3
39.4		1
39.5		3
39.6		6
39.7		10
39.8		6
39.9		13
40.0		12
40.1		14
40.2		15
40.3		16
40.4		22
40.5		25
40.6		27
40.7		33
40.8		27
40.9		22
41.0		15
41.1		13
41.2		14
41.3		11
41.4		0
41.5		5
41.6		2
41.7		5
41.8		2
41.9		5
42.0		3
42.1		10
42.2		5
42.3		1
42.4		7
42.5		5
42.6		4
42.7		0
42.8		1
42.9		4
43.0		4
43.1		0
43.2		2
43.3		1
43.4		1
43.5		3
43.6		5
43.7		2
43.8		0
43.9		2
44.0		0
44.1		0
44.2		2
44.3		1
44.4		0
44.5		0
44.6		3
44.7		0
44.8		6
44.9		0
45.0		0
45.1		3
45.2		0
45.3		1
45.4		3
45.5		0
45.6		2
45.7		2
45.8		1
45.9		2
46.0		2
46.1		0
46.2		0
46.3		6
46.4		4
46.5		11
46.6		12
46.7		14
46.8		12
46.9		8
47.0		0
47.1		1
47.2		3
47.3		14
47.4		6
47.5		2
47.6		7
47.7		3
47.8		3
47.9		2
48.0		2
48.1		0
48.2		1
48.3		1
48.4		3
48.5		0
48.6		2
48.7		4
48.8		4
48.9		7
49.0		3
49.1		0
49.2		4
49.3		2
49.4		3
49.5		2
49.6		6
49.7		8
49.8		14
49.9		14
50.0		11
50.1		14
50.2		13
50.3		6
50.4		11
50.5		13
50.6		15
50.7		14
50.8		16
50.9		15
51.0		16
51.1		8
51.2		8
51.3		11
51.4		5
51.5		5
51.6		1
51.7		1
51.8		2
51.9		6
52.0		12
52.1		11
52.2		1
52.3		2
52.4		3
52.5		3
52.6		3
52.7		3
52.8		3
52.9		2
53.0		5
53.1		3
53.2		3
53.3		6
53.4		5
53.5		1
53.6		0
53.7		1
53.8		4
53.9		9
54.0		6
54.1		6
54.2		9
54.3		7
54.4		4
54.5		3
54.6		1
54.7		0
54.8		0
54.9		2
55.0		3
55.1		1
55.2		7
55.3		2
55.4		1
55.5		3
55.6		0
55.7		3
55.8		8
55.9		15
56.0		14
56.1		9
56.2		7
56.3		1
56.4		9
56.5		11
56.6		10
56.7		12
56.8		11
56.9		16
57.0		14
57.1		9
57.2		12
57.3		15
57.4		12
57.5		11
57.6		9
57.7		2
57.8		1
57.9		0
58.0		3
58.1		3
58.2		0
58.3		2
58.4		5
58.5		0
58.6		4
58.7		2
58.8		6
58.9		2
59.0		10
59.1		3
59.2		2
59.3		2
59.4		7
59.5		5
59.6		2
59.7		3
59.8		1
59.9		5
60.0		3
60.1		2
60.2		6
60.3		3
60.4		6
60.5		0
60.6		2
60.7		0
60.8		2
60.9		7
61.0		3
61.1		5
61.2		3
61.3		6
61.4		4
61.5		3
61.6		4
61.7		7
61.8		1
61.9		4
62.0		3
62.1		2
62.2		0
62.3		2
62.4		6
62.5		8
62.6		6
62.7		2
62.8		3
62.9		2
63.0		0
63.1		4
63.2		4
63.3		4
63.4		6
63.5		3
63.6		0
63.7		3
63.8		5
63.9		7
64.0		4
64.1		3
64.2		3
64.3		4
64.4		0
64.5		11
64.6		20
64.7		23
64.8		14
64.9		17
65.0		12
65.1		6
65.2		7
65.3		10
65.4		12
65.5		4
65.6		7
65.7		5
65.8		4
65.9		6
66.0		7
66.1		5
66.2		5
66.3		7
66.4		1
66.5		0
66.6		0
66.7		0
66.8		0
66.9		0
67.0		0
67.1		1
67.2		11
67.3		6
67.4		7
67.5		4
67.6		7
67.7		9
67.8		8
67.9		0
68.0		3
68.1		7
68.2		13
68.3		17
68.4		16
68.5		12
68.6		8
68.7		5
68.8		1
68.9		4
69.0		6
69.1		4
69.2		2
69.3		2
69.4		1
69.5		2
69.6		2
69.7		5
69.8		6
69.9		3
70.0		0
70.1		2
70.2		0
70.3		5
70.4		8
70.5		9
70.6		6
70.7		0
70.8		0
70.9		0
71.0		5
71.1		6
71.2		0
71.3		1
71.4		1
71.5		1
71.6		0
71.7		0
71.8		2
71.9		4
72.0		4
72.1		3
72.2		2
72.3		2
72.4		3
72.5		6
72.6		5
72.7		10
72.8		10
72.9		10
73.0		7
73.1		4
73.2		2
73.3		10
73.4		11
73.5		0
73.6		1
73.7		0
73.8		1
73.9		3
74.0		4
74.1		4
74.2		1
74.3		0
74.4		0
74.5		0
74.6		1
74.7		3
74.8		7
74.9		1
75.0		0
75.1		3
75.2		5
75.3		3
75.3999		7
75.4999		9
75.5999		13
75.6999		8
75.7999		13
75.8999		18
75.9999		20
76.0999		8
76.1999		8
76.2999		5
76.3999		6
76.4999		2
76.5999		3
76.6999		4
76.7999		4
76.8999		1
76.9999		4
77.0999		3
77.1999		1
77.2999		10
77.3999		6
77.4999		2
77.5999		7
77.6999		8
77.7999		0
77.8999		0
77.9999		5
78.0999		2
78.1999		2
78.2999		2
78.3999		5
78.4999		7
78.5999		4
78.6999		9
78.7999		11
78.8999		14
78.9999		14
79.0999		0
79.1999		0
79.2999		4
79.3999		5
79.4999		1
79.5999		1
79.6999		0
79.7999		3
79.8999		4
79.9999		6
80.0999		8
80.1999		4
80.2999		9
80.3999		10
80.4999		9
80.5999		13
80.6999		10
80.7999		12
80.8999		9
80.9999		6
81.0999		6
81.1999		1
81.2999		3
81.3999		1
81.4999		5
81.5999		3
81.6999		3
81.7999		2
81.8999		5
81.9999		0
82.0999		5
82.1999		1
82.2999		0
82.3999		4
82.4999		1
82.5999		2
82.6999		2
82.7999		2
82.8999		5
82.9999		1
83.0999		3
83.1999		1
83.2999		0
83.3999		7
83.4999		14
83.5999		13
83.6999		5
83.7999		3
83.8999		0
83.9999		0
84.0999		8
84.1999		0
84.2999		7
84.3999		0
84.4999		5
84.5999		8
84.6999		3
84.7999		0
84.8999		1
84.9999		7
85.0999		10
85.1999		14
85.2999		13
85.3999		4
85.4999		1
85.5999		3
85.6999		2
85.7999		1
85.8999		3
85.9999		13
86.0999		17
86.1999		15
86.2999		10
86.3999		10
86.4999		4
86.5999		4
86.6999		2
86.7999		0
86.8999		0
86.9999		5
87.0999		1
87.1999		5
87.2999		2
87.3999		2
87.4999		0
87.5999		6
87.6999		1
87.7999		0
87.8999		1
87.9999		0
88.0999		9
88.1999		4
88.2999		2
88.3999		0
88.4999		3
88.5999		2
88.6999		3
88.7999		4
88.8999		2
88.9999		2
89.0999		0
89.1999		0
89.2999		0
89.3999		0
89.4999		0
89.5999		0
89.6999		6
89.7999		2
89.8999		1
89.9999		0
90.0999		5
90.1999		3
90.2999		0
90.3999		8
90.4999		2
90.5999		1
90.6999		5
90.7999		6
90.8999		3
90.9999		2
91.0999		0
91.1999		1
91.2999		1
91.3999		5
91.4999		5
91.5999		4
91.6999		3
91.7999		1
91.8999		1
91.9999		0
92.0999		4
92.1999		6
92.2999		3
92.3999		0
92.4999		0
92.5999		1
92.6999		0
92.7999		7
92.8999		2
92.9999		0
93.0999		2
93.1999		0
93.2999		2
