Lambda: 100.0	Ts: 0.0085	Simulation Time: 100.0
IAT   	Ts     	Arr   	Dep   	Tq     	Tw     	q 	w 	n 

0.0114	0.0	9.0E-4	9.0E-4	0.0	0.0	0	0	1
0.0202	0.0067	0.0123	0.0191	0.0067	0.0	0	0	2
0.0202	0.0031	0.0142	0.0222	0.0080	0.0049	0	0	1
0.0080	0.0042	0.0344	0.0387	0.0042	0.0	0	0	1
0.0065	0.0079	0.0425	0.0504	0.0079	0.0	0	0	3
0.0172	0.0042	0.0431	0.0546	0.0115	0.0073	1	0	4
0.0172	3.0E-4	0.0457	0.055	0.0092	0.0089	0	0	3
0.0172	0.0038	0.0522	0.0588	0.0065	0.0027	0	0	2
0.0172	0.0080	0.0527	0.0668	0.014	0.0060	1	0	1
0.0062	0.0073	0.07	0.0774	0.0073	0.0	0	0	2
0.0062	0.0018	0.0758	0.0792	0.0034	0.0016	0	0	1
0.0249	0.0046	0.082	0.0866	0.0046	0.0	0	0	1
0.0217	0.0083	0.1069	0.1153	0.0083	0.0	0	0	1
0.0040	6.0E-4	0.1286	0.1293	6.0E-4	0.0	0	0	1
0.0236	0.0212	0.1327	0.1539	0.0212	0.0	2	0	1
0.0273	0.0189	0.1563	0.1753	0.0189	0.0	1	0	2
0.0106	0.0163	0.1614	0.1917	0.0302	0.0139	3	1	2
0.0145	0.0104	0.1888	0.2021	0.0133	0.0029	1	0	2
0.0145	7.0E-4	0.1994	0.2029	0.0034	0.0027	0	0	1
0.0209	0.0149	0.2139	0.2289	0.0149	0.0	1	0	2
0.0209	3.0E-4	0.2163	0.2292	0.0129	0.0125	1	1	1
0.0257	0.0011	0.2373	0.2384	0.0011	0.0	0	0	1
0.0091	0.0074	0.263	0.2705	0.0074	0.0	0	0	1
0.0221	0.0068	0.2722	0.279	0.0068	0.0	0	0	1
0.0218	0.0018	0.2943	0.2962	0.0018	0.0	0	0	1
0.0197	0.0527	0.3162	0.3689	0.0527	0.0	5	0	4
0.0197	0.0025	0.3235	0.3715	0.048	0.0454	4	4	3
0.0275	0.0078	0.3294	0.3794	0.0499	0.042	4	4	3
0.0275	0.0061	0.3579	0.3855	0.0275	0.0214	2	2	2
0.0275	0.0085	0.3777	0.394	0.0163	0.0078	1	0	1
0.0026	0.0067	0.4053	0.412	0.0067	0.0	0	0	3
0.0026	5.0E-4	0.4094	0.4126	0.0031	0.0025	0	0	2
0.0384	0.0063	0.4108	0.4189	0.0081	0.0018	0	0	2
0.0384	0.0018	0.4134	0.4207	0.0073	0.0055	0	0	1
0.0061	0.0224	0.4518	0.4743	0.0224	0.0	2	0	2
0.0061	5.0E-4	0.4707	0.4749	0.0041	0.0035	0	0	1
0.0149	0.0078	0.4768	0.4846	0.0078	0.0	0	0	2
0.0149	0.0089	0.4786	0.4936	0.0149	0.0060	1	0	1
0.0275	0.0219	0.4936	0.5155	0.0219	0.0	2	0	2
0.021	0.0087	0.4941	0.5243	0.0302	0.0214	3	2	2
0.021	0.0136	0.5216	0.538	0.0164	0.0027	1	0	1
0.0028	0.0071	0.5426	0.5497	0.0071	0.0	0	0	2
0.0057	0.0031	0.5484	0.5528	0.0043	0.0012	0	0	3
0.0057	5.0E-4	0.5512	0.5534	0.0021	0.0015	0	0	2
0.0084	0.0078	0.5514	0.5612	0.0098	0.0019	0	0	2
0.0177	0.0059	0.5572	0.5672	0.0099	0.0040	0	0	2
0.0177	0.0113	0.5656	0.5785	0.0128	0.0015	1	0	1
0.0146	0.0098	0.5833	0.5932	0.0098	0.0	0	0	2
0.0379	0.0414	0.5858	0.6346	0.0488	0.0074	4	0	2
0.0204	0.0049	0.6004	0.6396	0.0392	0.0342	3	3	2
0.0204	0.0034	0.6384	0.6431	0.0046	0.0012	0	0	1
0.0034	0.0312	0.6588	0.69	0.0312	0.0	3	0	5
0.0243	0.0087	0.6701	0.6987	0.0285	0.0198	2	1	5
0.0243	0.0162	0.6708	0.715	0.0441	0.0278	4	2	4
0.0204	0.0070	0.6709	0.722	0.051	0.044	5	4	4
0.0204	0.0031	0.6889	0.7252	0.0362	0.033	3	3	3
0.0166	0.0359	0.6924	0.7611	0.0686	0.0327	6	3	5
0.0166	0.0095	0.7168	0.7706	0.0538	0.0443	5	4	4
0.0219	0.0178	0.7372	0.7885	0.0512	0.0334	5	3	6
0.0219	0.0012	0.7569	0.7898	0.0329	0.0316	3	3	5
0.0219	0.0	0.7574	0.7899	0.0324	0.0324	3	3	4
0.0219	0.0060	0.7741	0.7959	0.0218	0.0157	2	1	3
0.0043	0.0090	0.7759	0.805	0.0291	0.02	2	2	3
